,parent_line_item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,109.0,110.0,84.0,164.0,153.0,161.0,218.0,,
Cash from Investing Activity,,-43.0,-125.0,-57.0,-151.0,-224.0,-331.0,-213.0,,
Cash from Financing Activity,,-51.0,28.0,-30.0,-37.0,69.0,248.0,-54.0,,
Net Cash Flow,,15.0,14.0,-2.0,-23.0,-1.0,79.0,-49.0,,
Free Cash Flow,,68.0,30.0,25.0,56.0,-61.0,-97.0,5.0,,
CFO/OP,,131.0,94.0,86.0,111.0,83.0,84.0,101.0,,
Profit from operations,Cash from Operating Activity,,,101.0,144.0,122.0,182.0,250.0,265.0,270.0
Receivables,Cash from Operating Activity,,,19.0,-2.0,-3.0,-16.0,-43.0,-4.0,-33.0
Inventory,Cash from Operating Activity,,,-8.0,-14.0,-22.0,-3.0,-22.0,-33.0,10.0
Payables,Cash from Operating Activity,,,-1.0,10.0,0.0,20.0,29.0,-1.0,13.0
Loans Advances,Cash from Operating Activity,,,-0.0,0.0,-0.0,0.0,-8.0,-15.0,-2.0
Other WC items,Cash from Operating Activity,,,12.0,-6.0,8.0,11.0,-3.0,-0.0,4.0
Working capital changes,Cash from Operating Activity,,,21.0,-12.0,-17.0,12.0,-47.0,-53.0,-9.0
Direct taxes,Cash from Operating Activity,,,-12.0,-22.0,-21.0,-30.0,-49.0,-50.0,-43.0
Fixed assets purchased,Cash from Investing Activity,,,-42.0,-81.0,-60.0,-109.0,-215.0,-259.0,-214.0
Fixed assets sold,Cash from Investing Activity,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Investments purchased,Cash from Investing Activity,,,0.0,-6.0,-1.0,-1.0,0.0,0.0,-2.0
Investments sold,Cash from Investing Activity,,,0.0,0.0,0.0,0.0,7.0,0.0,0.0
Interest received,Cash from Investing Activity,,,1.0,2.0,4.0,4.0,8.0,16.0,15.0
Other investing items,Cash from Investing Activity,,,-3.0,-40.0,-1.0,-47.0,-24.0,-89.0,-14.0
Proceeds from shares,Cash from Financing Activity,,,0.0,41.76,1.2,0.04,0.0,390.21,0.0
Proceeds from borrowings,Cash from Financing Activity,,,8.11,52.13,24.06,24.38,125.49,96.99,29.69
Repayment of borrowings,Cash from Financing Activity,,,-37.18,-52.8,-26.01,-32.24,-21.6,-190.25,-29.75
Interest paid fin,Cash from Financing Activity,,,-14.99,-9.18,-6.74,-12.86,-11.76,-13.22,-11.66
Dividends paid,Cash from Financing Activity,,,-5.21,0.0,-21.45,-14.69,-17.63,-30.68,-36.81
Financial liabilities,Cash from Financing Activity,,,-1.82,-1.16,-1.07,-1.21,-1.61,-3.16,-4.5
Other financing items,Cash from Financing Activity,,,0.0,-2.27,0.0,0.0,-4.13,-1.49,-0.75
