,parent_line_item,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,538.0,488.0,562.0,1429.0
Cash from Investing Activity,,-13.0,-30.0,-27.0,-69.0
Cash from Financing Activity,,-394.0,-686.0,-433.0,-1075.0
Net Cash Flow,,130.0,-228.0,103.0,285.0
Free Cash Flow,,475.0,391.0,500.0,1345.0
CFO/OP,,118.0,98.0,93.0,190.0
Profit from operations,Cash from Operating Activity,598.0,616.0,823.0,910.0
Receivables,Cash from Operating Activity,-24.0,3.0,-129.0,57.0
Inventory,Cash from Operating Activity,-70.0,66.0,52.0,-61.0
Payables,Cash from Operating Activity,125.0,-20.0,-34.0,190.0
Other WC items,Cash from Operating Activity,44.0,-61.0,46.0,663.0
Working capital changes,Cash from Operating Activity,74.0,-12.0,-65.0,849.0
Direct taxes,Cash from Operating Activity,-135.0,-116.0,-195.0,-329.0
Fixed assets purchased,Cash from Investing Activity,-63.0,-97.0,-65.0,-115.0
Fixed assets sold,Cash from Investing Activity,1.0,1.0,2.0,31.0
Investments purchased,Cash from Investing Activity,0.0,0.0,-0.0,0.0
Interest received,Cash from Investing Activity,7.0,17.0,9.0,14.0
Dividends received,Cash from Investing Activity,43.0,50.0,29.0,0.0
Other investing items,Cash from Investing Activity,-1.0,0.0,-2.0,2.0
Proceeds from borrowings,Cash from Financing Activity,13.0,0.0,0.0,0.0
Repayment of borrowings,Cash from Financing Activity,-104.0,-14.0,0.0,0.0
Interest paid fin,Cash from Financing Activity,-20.0,-24.0,-18.0,-28.0
Dividends paid,Cash from Financing Activity,-280.0,-559.0,-409.0,-1037.0
Financial liabilities,Cash from Financing Activity,-3.0,-4.0,-5.0,-11.0
Other financing items,Cash from Financing Activity,0.0,-85.0,-0.0,0.0
