,parent_line_item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,25.0,74.0,52.0,-8.0,114.0,50.0,70.0
Cash from Investing Activity,,-36.0,-74.0,-136.0,-52.0,-17.0,-1082.0,-763.0
Cash from Financing Activity,,8.0,4.0,136.0,8.0,-66.0,1205.0,549.0
Net Cash Flow,,-3.0,4.0,52.0,-52.0,32.0,173.0,-143.0
Free Cash Flow,,23.0,71.0,45.0,-8.0,115.0,51.0,69.0
CFO/OP,,72.0,134.0,388.0,-89.0,1069.0,120.0,68.0
Profit from operations,Cash from Operating Activity,47.0,70.0,47.0,15.0,22.0,119.0,192.0
Receivables,Cash from Operating Activity,-7.0,-28.0,23.0,-3.0,6.0,-74.0,-19.0
Inventory,Cash from Operating Activity,-42.0,1.0,-53.0,-4.0,6.0,80.0,-39.0
Payables,Cash from Operating Activity,12.0,26.0,27.0,7.0,115.0,-78.0,-21.0
Loans Advances,Cash from Operating Activity,-14.0,-13.0,0.0,0.0,0.0,0.0,-5.0
Leased assets,Cash from Operating Activity,-9.0,-6.0,0.0,0.0,0.0,0.0,0.0
Other WC items,Cash from Operating Activity,49.0,38.0,23.0,-13.0,-27.0,40.0,8.0
Working capital changes,Cash from Operating Activity,-12.0,18.0,21.0,-13.0,100.0,-33.0,-76.0
Interest paid,Cash from Operating Activity,0.0,0.0,0.0,-7.0,0.0,0.0,0.0
Direct taxes,Cash from Operating Activity,-11.0,-14.0,-13.0,0.0,-8.0,-36.0,-46.0
Advance tax,Cash from Operating Activity,0.0,0.0,-2.0,0.0,0.0,0.0,0.0
Other operating items,Cash from Operating Activity,0.0,0.0,0.0,-3.0,0.0,0.0,0.0
Proceeds from shares,Cash from Financing Activity,11.0,1.0,187.0,0.0,0.0,1252.0,0.0
Proceeds from borrowings,Cash from Financing Activity,2.0,11.0,0.0,0.0,0.0,0.0,589.0
Repayment of borrowings,Cash from Financing Activity,0.0,0.0,-13.0,-8.0,-56.0,-21.0,-1.0
Interest paid fin,Cash from Financing Activity,-5.0,-8.0,0.0,-8.0,-8.0,-24.0,-7.0
Dividends paid,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,0.0,-34.0
Financial liabilities,Cash from Financing Activity,-0.0,-0.0,-14.0,0.0,-1.0,-2.0,-6.0
Other financing items,Cash from Financing Activity,0.0,0.0,-25.0,24.0,0.0,0.0,8.0
