,parent_line_item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,-70.0,-210.0,-300.0,-67.0,-132.0,-399.0,-42.0,-83.0,365.0
Cash from Investing Activity,,82.0,-758.0,-660.0,-445.0,-491.0,304.0,63.0,-1438.0,-108.0
Cash from Financing Activity,,-9.0,1063.0,1033.0,718.0,644.0,-51.0,81.0,1431.0,-282.0
Net Cash Flow,,3.0,95.0,73.0,206.0,22.0,-146.0,102.0,-91.0,-25.0
Free Cash Flow,,-71.0,-231.0,-349.0,-110.0,-353.0,-637.0,-385.0,-292.0,176.0
CFO/OP,,106.0,22.0,128.0,-167.0,583.0,134.0,6.0,-22.0,164.0
Profit from operations,Cash from Operating Activity,-58.0,-110.0,-203.0,116.0,91.0,127.0,297.0,496.0,516.0
Receivables,Cash from Operating Activity,-13.0,-9.0,-37.0,-32.0,-29.0,19.0,7.0,-75.0,-71.0
Inventory,Cash from Operating Activity,-25.0,-104.0,-104.0,-203.0,-402.0,308.0,-343.0,-521.0,146.0
Payables,Cash from Operating Activity,17.0,53.0,55.0,104.0,174.0,-558.0,170.0,20.0,62.0
Other WC items,Cash from Operating Activity,10.0,-42.0,-9.0,-56.0,61.0,-322.0,-126.0,30.0,-223.0
Working capital changes,Cash from Operating Activity,-12.0,-101.0,-95.0,-186.0,-197.0,-553.0,-293.0,-546.0,-86.0
Direct taxes,Cash from Operating Activity,-1.0,1.0,-2.0,3.0,-26.0,27.0,-46.0,-33.0,-65.0
Fixed assets purchased,Cash from Investing Activity,-2.0,-21.0,-49.0,-44.0,-221.0,-238.0,-343.0,-223.0,-189.0
Fixed assets sold,Cash from Investing Activity,1.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0
Investments purchased,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0
Interest received,Cash from Investing Activity,9.0,18.0,57.0,92.0,114.0,61.0,54.0,43.0,145.0
Acquisition of companies,Cash from Investing Activity,0.0,0.0,-12.0,-52.0,-521.0,-395.0,-267.0,-158.0,0.0
Other investing items,Cash from Investing Activity,75.0,-755.0,-656.0,-441.0,138.0,876.0,624.0,-1116.0,-63.0
Proceeds from shares,Cash from Financing Activity,0.0,1065.0,1056.0,799.0,769.0,0.0,0.0,1668.0,2.0
Proceeds from borrowings,Cash from Financing Activity,0.0,0.0,0.0,0.0,94.0,147.0,458.0,171.0,195.0
Repayment of borrowings,Cash from Financing Activity,-8.0,-2.0,0.0,-3.0,-60.0,-62.0,-172.0,-81.0,-169.0
Interest paid fin,Cash from Financing Activity,-1.0,-0.0,-4.0,-1.0,-13.0,-16.0,-27.0,-58.0,-52.0
Financial liabilities,Cash from Financing Activity,0.0,0.0,-19.0,-40.0,-57.0,-120.0,-177.0,-219.0,-255.0
Other financing items,Cash from Financing Activity,0.0,0.0,0.0,-38.0,-88.0,0.0,0.0,-50.0,-4.0
