,parent_line_item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,557.0,1054.0,657.0,636.0,830.0,1399.0,1621.0
Cash from Investing Activity,,-149.0,-695.0,27.0,177.0,-130.0,-610.0,-988.0
Cash from Financing Activity,,-429.0,-276.0,-710.0,-865.0,-658.0,-479.0,-500.0
Net Cash Flow,,-22.0,84.0,-26.0,-52.0,41.0,310.0,133.0
Free Cash Flow,,387.0,950.0,500.0,417.0,583.0,1138.0,1299.0
CFO/OP,,94.0,172.0,88.0,73.0,77.0,105.0,103.0
Profit from operations,Cash from Operating Activity,669.0,720.0,851.0,1026.0,1248.0,1588.0,1909.0
Receivables,Cash from Operating Activity,0.0,-0.0,1.0,-2.0,-28.0,-35.0,39.0
Inventory,Cash from Operating Activity,-228.0,142.0,-246.0,-275.0,26.0,-385.0,-167.0
Payables,Cash from Operating Activity,262.0,208.0,185.0,48.0,-274.0,262.0,167.0
Other WC items,Cash from Operating Activity,-75.0,8.0,-64.0,-37.0,7.0,208.0,-1.0
Working capital changes,Cash from Operating Activity,-41.0,358.0,-124.0,-266.0,-268.0,51.0,38.0
Direct taxes,Cash from Operating Activity,-61.0,-24.0,-70.0,-124.0,-150.0,-240.0,-325.0
Exceptional CF items,Cash from Operating Activity,-10.0,0.0,0.0,0.0,0.0,0.0,0.0
Fixed assets purchased,Cash from Investing Activity,-171.0,-104.0,-158.0,-222.0,-249.0,-264.0,-325.0
Fixed assets sold,Cash from Investing Activity,1.0,0.0,0.0,4.0,3.0,3.0,3.0
Investments purchased,Cash from Investing Activity,0.0,-1090.0,-911.0,-954.0,-1001.0,-1923.0,-3230.0
Investments sold,Cash from Investing Activity,0.0,642.0,1054.0,1348.0,1049.0,1573.0,2563.0
Interest received,Cash from Investing Activity,4.0,11.0,5.0,5.0,8.0,7.0,7.0
Other investing items,Cash from Investing Activity,17.0,-154.0,37.0,-3.0,60.0,-7.0,-6.0
