,parent_line_item,Mar 2016,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,228.0,63.0,166.0,175.0,242.0,311.0,645.0,612.0,624.0,714.0
Cash from Investing Activity,,-241.0,-69.0,-249.0,-87.0,-239.0,-421.0,-342.0,-441.0,-721.0,-1089.0
Cash from Financing Activity,,-7.0,9.0,97.0,-1.0,-81.0,160.0,346.0,-514.0,-97.0,272.0
Net Cash Flow,,-20.0,3.0,14.0,87.0,-78.0,50.0,648.0,-343.0,-194.0,-103.0
Free Cash Flow,,71.0,-81.0,-133.0,-13.0,100.0,38.0,409.0,335.0,110.0,-263.0
CFO/OP,,108.0,93.0,135.0,121.0,131.0,89.0,118.0,98.0,89.0,91.0
Profit from operations,Cash from Operating Activity,340.0,185.0,230.0,229.0,222.0,476.0,648.0,835.0,888.0,919.0
Receivables,Cash from Operating Activity,-29.0,-54.0,-30.0,5.0,10.0,-50.0,-21.0,-48.0,-95.0,-130.0
Inventory,Cash from Operating Activity,-5.0,-1.0,-1.0,-15.0,-1.0,-14.0,-7.0,-6.0,-0.0,-12.0
Payables,Cash from Operating Activity,0.0,2.0,20.0,4.0,1.0,3.0,60.0,2.0,13.0,54.0
Loans Advances,Cash from Operating Activity,0.0,-1.0,-3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
Other WC items,Cash from Operating Activity,19.0,-15.0,16.0,9.0,27.0,-6.0,71.0,7.0,-17.0,3.0
Working capital changes,Cash from Operating Activity,-15.0,-69.0,3.0,2.0,37.0,-67.0,103.0,-46.0,-100.0,-85.0
Direct taxes,Cash from Operating Activity,-97.0,-53.0,-68.0,-56.0,-16.0,-98.0,-106.0,-177.0,-164.0,-119.0
Fixed assets purchased,Cash from Investing Activity,-156.0,-144.0,-300.0,-188.0,-146.0,-274.0,-236.0,-279.0,-517.0,-979.0
Fixed assets sold,Cash from Investing Activity,0.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,1.0
Investments purchased,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-131.0,0.0
Interest received,Cash from Investing Activity,26.0,24.0,18.0,19.0,15.0,16.0,34.0,59.0,67.0,78.0
Acquisition of companies,Cash from Investing Activity,0.0,-139.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0
Other investing items,Cash from Investing Activity,-110.0,190.0,31.0,81.0,-112.0,-164.0,-142.0,-223.0,-141.0,-189.0
Proceeds from shares,Cash from Financing Activity,12.0,0.0,1.0,0.0,0.0,38.0,479.0,0.0,1.0,24.0
Proceeds from borrowings,Cash from Financing Activity,0.0,47.0,227.0,112.0,0.0,235.0,39.0,136.0,149.0,369.0
Repayment of borrowings,Cash from Financing Activity,-8.0,-14.0,-63.0,-18.0,-3.0,-20.0,-70.0,-582.0,-183.0,-12.0
Interest paid fin,Cash from Financing Activity,0.0,-23.0,-53.0,-79.0,-62.0,-76.0,-89.0,-32.0,-25.0,-72.0
Dividends paid,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.0
Financial liabilities,Cash from Financing Activity,0.0,0.0,-14.0,-16.0,-16.0,-17.0,-13.0,-36.0,-39.0,-13.0
Other financing items,Cash from Financing Activity,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0
