,parent_line_item,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,Dec 2023,Dec 2024,Dec 2025
Cash from Operating Activity,,112.0,58.0,-25.0,77.0,202.0,171.0,62.0,38.0,142.0,187.0,93.0,
Cash from Investing Activity,,-33.0,-61.0,39.0,-86.0,-152.0,-101.0,2.0,-12.0,5.0,-146.0,50.0,
Cash from Financing Activity,,-48.0,-23.0,-21.0,2.0,-4.0,-32.0,-95.0,-51.0,-59.0,-65.0,-72.0,
Net Cash Flow,,31.0,-26.0,-7.0,-6.0,46.0,39.0,-30.0,-25.0,88.0,-24.0,71.0,
Free Cash Flow,,76.0,-21.0,-107.0,36.0,157.0,122.0,25.0,-67.0,49.0,88.0,-0.0,
CFO/OP,,133.0,93.0,18.0,92.0,157.0,126.0,66.0,40.0,72.0,75.0,53.0,
Profit from operations,Cash from Operating Activity,,108.0,110.0,119.0,132.0,157.0,185.0,226.0,261.0,304.0,358.0,368.0
Receivables,Cash from Operating Activity,,1.0,-3.0,-102.0,-39.0,-6.0,18.0,-10.0,-114.0,-79.0,-164.0,-212.0
Inventory,Cash from Operating Activity,,19.0,-24.0,-36.0,-55.0,-22.0,-36.0,-62.0,-138.0,-82.0,-0.0,-143.0
Payables,Cash from Operating Activity,,6.0,18.0,40.0,46.0,26.0,22.0,18.0,35.0,30.0,32.0,69.0
Loans Advances,Cash from Operating Activity,,6.0,8.0,-2.0,0.0,-2.0,0.0,-5.0,-2.0,3.0,-3.0,0.0
Other WC items,Cash from Operating Activity,,1.0,-11.0,1.0,35.0,84.0,24.0,-28.0,57.0,35.0,32.0,116.0
Working capital changes,Cash from Operating Activity,,33.0,-12.0,-99.0,-13.0,80.0,28.0,-87.0,-162.0,-93.0,-104.0,-169.0
Direct taxes,Cash from Operating Activity,,-29.0,-40.0,-45.0,-41.0,-35.0,-41.0,-76.0,-60.0,-70.0,-67.0,-106.0
Fixed assets purchased,Cash from Investing Activity,,-37.0,-80.0,-82.0,-43.0,-59.0,-50.0,-38.0,-107.0,-93.0,-101.0,-94.0
Fixed assets sold,Cash from Investing Activity,,0.0,0.0,0.0,1.0,13.0,0.0,1.0,2.0,1.0,1.0,1.0
Investments purchased,Cash from Investing Activity,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
Investment income,Cash from Investing Activity,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Interest received,Cash from Investing Activity,,19.0,16.0,15.0,7.0,6.0,20.0,19.0,20.0,19.0,21.0,25.0
Dividends received,Cash from Investing Activity,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0
Other investing items,Cash from Investing Activity,,-18.0,2.0,106.0,-51.0,-113.0,-72.0,21.0,73.0,78.0,-72.0,112.0
