,parent_line_item,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,29.0,-0.0,52.0,88.0,84.0,184.0
Cash from Investing Activity,,-14.0,-5.0,-18.0,-36.0,-141.0,-403.0
Cash from Financing Activity,,-15.0,5.0,-31.0,-56.0,57.0,225.0
Net Cash Flow,,-0.0,-0.0,3.0,-3.0,0.0,6.0
Free Cash Flow,,20.0,-3.0,45.0,56.0,-30.0,68.0
CFO/OP,,107.0,5.0,49.0,94.0,65.0,77.0
Profit from operations,Cash from Operating Activity,25.0,73.0,141.0,121.0,195.0,356.0
Receivables,Cash from Operating Activity,7.0,-77.0,-61.0,79.0,-172.0,-75.0
Inventory,Cash from Operating Activity,29.0,-38.0,-65.0,-52.0,24.0,-149.0
Payables,Cash from Operating Activity,-24.0,39.0,45.0,-41.0,72.0,85.0
Other WC items,Cash from Operating Activity,-3.0,5.0,9.0,4.0,7.0,48.0
Working capital changes,Cash from Operating Activity,9.0,-70.0,-72.0,-10.0,-70.0,-90.0
Direct taxes,Cash from Operating Activity,-5.0,-3.0,-17.0,-23.0,-42.0,-82.0
Fixed assets purchased,Cash from Investing Activity,-9.0,-3.0,-7.0,-32.0,-113.0,-116.0
Fixed assets sold,Cash from Investing Activity,0.0,0.0,-0.0,-0.0,-0.0,-0.0
Investments purchased,Cash from Investing Activity,-0.0,-0.0,-0.0,-0.0,-0.0,-12.0
Investments sold,Cash from Investing Activity,-0.0,-0.0,-0.0,-0.0,3.0,-0.0
Interest received,Cash from Investing Activity,2.0,2.0,3.0,3.0,4.0,13.0
Dividends received,Cash from Investing Activity,-0.0,-0.0,0.0,0.0,0.0,0.0
Acquisition of companies,Cash from Investing Activity,-0.0,-0.0,-0.0,-0.0,-0.0,-181.0
Other investing items,Cash from Investing Activity,-7.0,-4.0,-13.0,-7.0,-35.0,-107.0
Proceeds from shares,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,377.0
Proceeds from borrowings,Cash from Financing Activity,10.0,4.0,0.0,0.0,92.0,0.0
Repayment of borrowings,Cash from Financing Activity,-7.0,-11.0,-3.0,-24.0,0.0,-90.0
Interest paid fin,Cash from Financing Activity,-14.0,-12.0,-28.0,-30.0,-34.0,-62.0
Financial liabilities,Cash from Financing Activity,0.0,0.0,-1.0,-1.0,-1.0,-1.0
Other financing items,Cash from Financing Activity,-4.0,25.0,0.0,0.0,0.0,0.0
