,parent_line_item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,163.0,175.0,233.0,288.0,210.0,318.0,674.0
Cash from Investing Activity,,-79.0,-167.0,-82.0,-158.0,-1137.0,241.0,-210.0
Cash from Financing Activity,,-41.0,-37.0,-59.0,-152.0,780.0,-389.0,-412.0
Net Cash Flow,,43.0,-28.0,92.0,-22.0,-147.0,170.0,52.0
Free Cash Flow,,152.0,168.0,222.0,280.0,177.0,276.0,613.0
CFO/OP,,118.0,100.0,93.0,93.0,58.0,56.0,80.0
Profit from operations,Cash from Operating Activity,191.0,205.0,297.0,396.0,529.0,805.0,1134.0
Receivables,Cash from Operating Activity,-4.0,0.0,-19.0,-63.0,40.0,-203.0,-135.0
Inventory,Cash from Operating Activity,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Payables,Cash from Operating Activity,-4.0,-5.0,2.0,11.0,-20.0,33.0,20.0
Other WC items,Cash from Operating Activity,7.0,4.0,-3.0,18.0,-247.0,-201.0,-156.0
Working capital changes,Cash from Operating Activity,-0.0,-1.0,-20.0,-33.0,-226.0,-371.0,-271.0
Direct taxes,Cash from Operating Activity,-28.0,-29.0,-44.0,-75.0,-93.0,-116.0,-190.0
Proceeds from shares,Cash from Financing Activity,1.0,2.0,4.0,15.0,3.0,67.0,16.0
Redemption of debentures,Cash from Financing Activity,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Proceeds from borrowings,Cash from Financing Activity,0.0,0.0,0.0,0.0,1033.0,0.0,439.0
Repayment of borrowings,Cash from Financing Activity,-0.0,0.0,0.0,0.0,-33.0,-328.0,-785.0
Interest paid fin,Cash from Financing Activity,-7.0,-7.0,-6.0,-14.0,-41.0,-84.0,-47.0
Dividends paid,Cash from Financing Activity,-23.0,-19.0,-44.0,0.0,-165.0,0.0,0.0
Financial liabilities,Cash from Financing Activity,-11.0,-11.0,-12.0,-14.0,-16.0,-21.0,-34.0
Other financing items,Cash from Financing Activity,0.0,-1.0,-0.0,-140.0,-0.0,-23.0,0.0
