,parent_line_item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,372.0,190.0,712.0,621.0,734.0,128.0,672.0,746.0
Cash from Investing Activity,,-236.0,-337.0,102.0,-383.0,-222.0,-112.0,-142.0,-292.0
Cash from Financing Activity,,-17.0,557.0,-1167.0,217.0,-419.0,-592.0,-495.0,-449.0
Net Cash Flow,,120.0,410.0,-353.0,455.0,92.0,-576.0,35.0,5.0
Free Cash Flow,,234.0,71.0,601.0,520.0,590.0,16.0,511.0,481.0
CFO/OP,,73.0,75.0,181.0,102.0,120.0,20.0,110.0,101.0
Profit from operations,Cash from Operating Activity,570.0,386.0,493.0,708.0,736.0,693.0,698.0,806.0
Receivables,Cash from Operating Activity,123.0,-97.0,174.0,-199.0,78.0,-199.0,-26.0,-103.0
Inventory,Cash from Operating Activity,-33.0,1.0,-44.0,-66.0,-41.0,-34.0,19.0,-96.0
Payables,Cash from Operating Activity,-70.0,6.0,93.0,304.0,-97.0,-168.0,8.0,214.0
Other WC items,Cash from Operating Activity,-161.0,-51.0,-1.0,-110.0,142.0,-130.0,38.0,-30.0
Working capital changes,Cash from Operating Activity,-141.0,-140.0,222.0,-71.0,82.0,-531.0,39.0,-15.0
Direct taxes,Cash from Operating Activity,0.0,0.0,-3.0,-16.0,-73.0,-10.0,-66.0,-45.0
Other operating items,Cash from Operating Activity,-56.0,-56.0,0.0,0.0,0.0,0.0,0.0,0.0
Exceptional CF items,Cash from Operating Activity,0.0,0.0,0.0,0.0,-11.0,-24.0,0.0,0.0
Proceeds from shares,Cash from Financing Activity,0.0,0.0,0.0,457.0,1.0,757.0,9.0,0.0
Proceeds from borrowings,Cash from Financing Activity,387.0,1867.0,0.0,267.0,128.0,3.0,38.0,121.0
Repayment of borrowings,Cash from Financing Activity,0.0,-956.0,-711.0,-51.0,-245.0,-925.0,-3.0,0.0
Interest paid fin,Cash from Financing Activity,-405.0,-504.0,-456.0,-456.0,-100.0,-110.0,-62.0,-66.0
Dividends paid,Cash from Financing Activity,-5.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
Financial liabilities,Cash from Financing Activity,0.0,0.0,0.0,0.0,-447.0,-478.0,-477.0,-504.0
Other financing items,Cash from Financing Activity,6.0,149.0,0.0,0.0,244.0,161.0,0.0,0.0
