,parent_line_item,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,942.0,1162.0,1290.0,1734.0
Cash from Investing Activity,,-386.0,-393.0,-304.0,-647.0
Cash from Financing Activity,,-534.0,-797.0,-984.0,-1048.0
Net Cash Flow,,22.0,-29.0,2.0,39.0
Free Cash Flow,,709.0,918.0,918.0,1137.0
CFO/OP,,123.0,108.0,105.0,111.0
Profit from operations,Cash from Operating Activity,810.0,1076.0,1246.0,1595.0
Receivables,Cash from Operating Activity,-10.0,-21.0,1.0,-5.0
Inventory,Cash from Operating Activity,0.0,0.0,-1.0,-0.0
Payables,Cash from Operating Activity,-10.0,-30.0,-24.0,23.0
Other WC items,Cash from Operating Activity,184.0,109.0,74.0,131.0
Working capital changes,Cash from Operating Activity,164.0,57.0,50.0,148.0
Direct taxes,Cash from Operating Activity,-33.0,0.0,-6.0,-9.0
Advance tax,Cash from Operating Activity,0.0,28.0,0.0,0.0
Proceeds from shares,Cash from Financing Activity,0.0,0.0,0.0,7.0
Proceeds from debentures,Cash from Financing Activity,0.0,0.0,501.0,0.0
Proceeds from borrowings,Cash from Financing Activity,343.0,200.0,234.0,137.0
Repayment of borrowings,Cash from Financing Activity,-157.0,-84.0,-82.0,-116.0
Interest paid fin,Cash from Financing Activity,-391.0,-463.0,-520.0,-562.0
Financial liabilities,Cash from Financing Activity,-328.0,-430.0,-556.0,-514.0
Other financing items,Cash from Financing Activity,0.0,-20.0,-561.0,0.0
