,parent_line_item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,156.0,166.0,89.0,77.0,118.0,741.0,1209.0,1122.0,1438.0,1633.0
Cash from Investing Activity,,-104.0,-124.0,-17.0,-2641.0,206.0,-764.0,-1187.0,-1253.0,-1593.0,-1688.0
Cash from Financing Activity,,-48.0,-48.0,-74.0,2353.0,191.0,-294.0,-289.0,-264.0,-163.0,59.0
Net Cash Flow,,4.0,-6.0,-2.0,-210.0,516.0,-317.0,-266.0,-395.0,-318.0,4.0
Free Cash Flow,,41.0,100.0,-27.0,-13.0,1.0,192.0,877.0,342.0,500.0,165.0
CFO/OP,,135.0,166.0,75.0,89.0,15.0,89.0,110.0,93.0,95.0,89.0
Profit from operations,Cash from Operating Activity,182.0,140.0,165.0,122.0,436.0,980.0,1290.0,1550.0,1884.0,2268.0
Receivables,Cash from Operating Activity,-58.0,-62.0,-78.0,-31.0,56.0,3.0,65.0,-109.0,-209.0,-323.0
Inventory,Cash from Operating Activity,0.0,-5.0,2.0,-12.0,17.0,-8.0,-15.0,6.0,-19.0,-9.0
Payables,Cash from Operating Activity,64.0,107.0,28.0,-12.0,-478.0,-45.0,99.0,-40.0,81.0,73.0
Loans Advances,Cash from Operating Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other WC items,Cash from Operating Activity,2.0,8.0,-1.0,17.0,28.0,-81.0,-68.0,-16.0,22.0,-4.0
Working capital changes,Cash from Operating Activity,9.0,48.0,-48.0,-39.0,-376.0,-131.0,81.0,-159.0,-125.0,-263.0
Direct taxes,Cash from Operating Activity,-35.0,-23.0,-28.0,-6.0,58.0,-109.0,-161.0,-269.0,-321.0,-372.0
Fixed assets purchased,Cash from Investing Activity,-115.0,-66.0,-116.0,-90.0,-118.0,-553.0,-336.0,-786.0,-944.0,-1485.0
Fixed assets sold,Cash from Investing Activity,0.0,0.0,0.0,0.0,2.0,5.0,4.0,6.0,6.0,16.0
Investments purchased,Cash from Investing Activity,0.0,0.0,-1.0,-2136.0,0.0,0.0,0.0,-1.0,-1.0,-4.0
Investments sold,Cash from Investing Activity,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0
Interest received,Cash from Investing Activity,36.0,47.0,45.0,25.0,66.0,74.0,86.0,153.0,95.0,119.0
Loans to subsidiaries,Cash from Investing Activity,0.0,0.0,0.0,-440.0,0.0,0.0,0.0,0.0,0.0,0.0
Acquisition of companies,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,-107.0,-0.0,-69.0,0.0,0.0
Other investing items,Cash from Investing Activity,-24.0,-106.0,-22.0,0.0,257.0,-183.0,-941.0,-556.0,-749.0,-377.0
Proceeds from shares,Cash from Financing Activity,0.0,0.0,0.0,1858.0,1179.0,4.0,1.0,1.0,0.0,34.0
Proceeds from borrowings,Cash from Financing Activity,105.0,106.0,53.0,732.0,737.0,57.0,7.0,642.0,1349.0,568.0
Repayment of borrowings,Cash from Financing Activity,-34.0,0.0,-31.0,-151.0,-1528.0,-250.0,-169.0,-564.0,-1054.0,-144.0
Interest paid fin,Cash from Financing Activity,-95.0,-91.0,-96.0,-78.0,-171.0,-91.0,-71.0,-187.0,-140.0,-227.0
Dividends paid,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-97.0,-146.0,-146.0
Financial liabilities,Cash from Financing Activity,0.0,0.0,0.0,-7.0,-26.0,-14.0,-57.0,-58.0,-174.0,-26.0
Application money refund,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Other financing items,Cash from Financing Activity,-24.0,-63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
