,parent_line_item,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity,,2422.0,4399.0,2983.0,1002.0,1913.0
Cash from Investing Activity,,106.0,-214.0,-67.0,-275.0,-680.0
Cash from Financing Activity,,3266.0,-1637.0,-336.0,-430.0,5870.0
Net Cash Flow,,5794.0,2548.0,2580.0,297.0,7102.0
Free Cash Flow,,2258.0,4189.0,2701.0,703.0,1576.0
CFO/OP,,43.0,60.0,27.0,8.0,13.0
Profit from operations,Cash from Operating Activity,5292.0,6326.0,6231.0,5712.0,7832.0
Loans Advances,Cash from Operating Activity,-12914.0,-15230.0,-34381.0,-27220.0,-34746.0
Operating investments,Cash from Operating Activity,-2900.0,-3576.0,910.0,1906.0,-1374.0
Operating borrowings,Cash from Operating Activity,-1254.0,-515.0,7120.0,4738.0,-1524.0
Operating Deposits,Cash from Operating Activity,12716.0,18154.0,25265.0,13792.0,30412.0
Other WC items,Cash from Operating Activity,1483.0,-760.0,-2162.0,2073.0,1312.0
Working capital changes,Cash from Operating Activity,-2870.0,-1927.0,-3248.0,-4710.0,-5919.0
Proceeds from shares,Cash from Financing Activity,0.0,562.0,0.0,0.0,2000.0
Proceeds from debentures,Cash from Financing Activity,0.0,500.0,500.0,0.0,0.0
Redemption of debentures,Cash from Financing Activity,0.0,-1000.0,-1002.0,-48.0,-48.0
Proceeds from borrowings,Cash from Financing Activity,942.0,0.0,372.0,0.0,4391.0
Repayment of borrowings,Cash from Financing Activity,0.0,-860.0,0.0,-242.0,0.0
Interest paid fin,Cash from Financing Activity,-276.0,-277.0,-206.0,-140.0,-139.0
Dividends paid,Cash from Financing Activity,0.0,0.0,0.0,0.0,-335.0
Share application money,Cash from Financing Activity,0.0,-2600.0,0.0,0.0,0.0
Application money refund,Cash from Financing Activity,2600.0,0.0,0.0,0.0,0.0
Other financing items,Cash from Financing Activity,0.0,2038.0,0.0,0.0,0.0
