,parent_line_item,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,Dec 2023,Dec 2024,Dec 2025
Cash from Operating Activity,,265.0,270.0,279.0,291.0,379.0,446.0,500.0,403.0,456.0,780.0,765.0,756.0
Cash from Investing Activity,,-185.0,2.0,-19.0,-179.0,-64.0,-77.0,-300.0,-97.0,-59.0,-326.0,-387.0,-267.0
Cash from Financing Activity,,-112.0,-262.0,-227.0,-187.0,-203.0,-229.0,-265.0,-291.0,-368.0,-408.0,-442.0,-470.0
Net Cash Flow,,-31.0,10.0,33.0,-75.0,111.0,140.0,-64.0,15.0,29.0,47.0,-64.0,18.0
Free Cash Flow,,245.0,245.0,256.0,258.0,347.0,418.0,466.0,430.0,417.0,721.0,594.0,688.0
CFO/OP,,100.0,100.0,98.0,101.0,116.0,130.0,122.0,98.0,93.0,116.0,118.0,96.0
Profit from operations,Cash from Operating Activity,403.0,421.0,474.0,491.0,571.0,508.0,569.0,654.0,789.0,900.0,931.0,1135.0
Receivables,Cash from Operating Activity,-35.0,-66.0,-31.0,-68.0,-59.0,86.0,-47.0,-148.0,-216.0,61.0,126.0,-133.0
Payables,Cash from Operating Activity,2.0,-1.0,6.0,14.0,7.0,11.0,15.0,42.0,9.0,0.0,43.0,-29.0
Loans Advances,Cash from Operating Activity,-6.0,-8.0,0.0,-0.0,0.0,6.0,-2.0,5.0,-1.0,-1.0,-2.0,-2.0
Operating Deposits,Cash from Operating Activity,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other WC items,Cash from Operating Activity,25.0,54.0,-15.0,22.0,28.0,-20.0,91.0,48.0,96.0,64.0,-20.0,68.0
Working capital changes,Cash from Operating Activity,-14.0,-20.0,-40.0,-32.0,-23.0,84.0,57.0,-54.0,-112.0,125.0,147.0,-96.0
Direct taxes,Cash from Operating Activity,-125.0,-130.0,-154.0,-168.0,-169.0,-146.0,-125.0,-197.0,-220.0,-244.0,-313.0,-284.0
Fixed assets purchased,Cash from Investing Activity,-21.0,-26.0,-23.0,-34.0,-33.0,-29.0,-35.0,-23.0,-41.0,-63.0,-173.0,-73.0
Fixed assets sold,Cash from Investing Activity,1.0,1.0,0.0,1.0,2.0,1.0,1.0,50.0,2.0,4.0,2.0,6.0
Investments purchased,Cash from Investing Activity,-369.0,-500.0,-15.0,-469.0,-39.0,-56.0,-44.0,-130.0,-27.0,-905.0,-1022.0,-987.0
Investments sold,Cash from Investing Activity,250.0,511.0,9.0,320.0,0.0,0.0,0.0,0.0,0.0,656.0,798.0,1390.0
Interest received,Cash from Investing Activity,3.0,3.0,2.0,1.0,1.0,5.0,2.0,3.0,1.0,6.0,6.0,12.0
Dividends received,Cash from Investing Activity,6.0,0.0,0.0,3.0,15.0,8.0,4.0,4.0,3.0,8.0,5.0,5.0
Invest in subsidiaries,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-33.0,-1.0,0.0
Redemp n Canc of Shares,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
Acquisition of companies,Cash from Investing Activity,0.0,0.0,0.0,0.0,-56.0,0.0,-251.0,0.0,0.0,0.0,0.0,-285.0
Other investing items,Cash from Investing Activity,-55.0,13.0,8.0,-3.0,47.0,-7.0,23.0,-9.0,4.0,1.0,-2.0,-336.0
