,parent_line_item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,96.0,148.0,180.0,190.0,296.0,392.0,261.0
Cash from Investing Activity,,-68.0,-1203.0,-168.0,-165.0,-237.0,263.0,-307.0
Cash from Financing Activity,,-23.0,1109.0,-57.0,-15.0,-45.0,-613.0,-13.0
Net Cash Flow,,5.0,53.0,-45.0,10.0,15.0,42.0,-58.0
Free Cash Flow,,81.0,134.0,153.0,113.0,258.0,372.0,240.0
CFO/OP,,92.0,100.0,101.0,85.0,111.0,125.0,85.0
Profit from operations,Cash from Operating Activity,141.0,201.0,252.0,323.0,348.0,404.0,421.0
Receivables,Cash from Operating Activity,5.0,-1.0,-2.0,-18.0,-51.0,9.0,-15.0
Inventory,Cash from Operating Activity,-18.0,-18.0,-3.0,-40.0,53.0,-12.0,13.0
Payables,Cash from Operating Activity,-1.0,19.0,1.0,-31.0,50.0,40.0,-15.0
Other WC items,Cash from Operating Activity,-1.0,-2.0,-4.0,32.0,-22.0,54.0,-50.0
Working capital changes,Cash from Operating Activity,-15.0,-3.0,-7.0,-57.0,30.0,91.0,-66.0
Interest paid,Cash from Operating Activity,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
Direct taxes,Cash from Operating Activity,-30.0,-42.0,-59.0,-75.0,-81.0,-103.0,-94.0
Exceptional CF items,Cash from Operating Activity,0.0,-8.0,-5.0,0.0,0.0,0.0,0.0
Fixed assets purchased,Cash from Investing Activity,-15.0,-14.0,-35.0,-79.0,-39.0,-21.0,-22.0
Fixed assets sold,Cash from Investing Activity,0.0,0.0,8.0,2.0,1.0,1.0,1.0
Investments purchased,Cash from Investing Activity,-240.0,-1607.0,-572.0,-614.0,-766.0,-1264.0,-1078.0
Investments sold,Cash from Investing Activity,187.0,426.0,425.0,578.0,719.0,1445.0,701.0
Interest received,Cash from Investing Activity,0.0,1.0,1.0,0.0,3.0,14.0,6.0
Investment in group cos,Cash from Investing Activity,0.0,0.0,0.0,-2.0,-5.0,0.0,0.0
Other investing items,Cash from Investing Activity,-0.0,-9.0,5.0,-50.0,-149.0,87.0,85.0
Proceeds from shares,Cash from Financing Activity,0.0,1112.66,0.0,0.0,0.0,0.0,0.0
Proceeds from borrowings,Cash from Financing Activity,38.5,26.0,40.0,31.0,0.0,0.0,0.0
Repayment of borrowings,Cash from Financing Activity,-52.36,-21.5,-85.18,-31.37,-31.22,0.0,0.0
Interest paid fin,Cash from Financing Activity,-6.02,-4.16,-6.85,-8.75,-5.96,-5.44,-5.74
Dividends paid,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,-600.01,0.0
Financial liabilities,Cash from Financing Activity,-3.39,-4.24,-5.06,-6.02,-7.06,-7.46,-7.03
Other financing items,Cash from Financing Activity,0.0,0.0,0.0,0.0,-0.64,0.0,0.0
