,parent_line_item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,446.0,630.0,677.0,701.0,581.0,824.0,1042.0,1168.0,915.0
Cash from Investing Activity,,-349.0,-646.0,-424.0,-629.0,-611.0,-653.0,-494.0,-744.0,-860.0
Cash from Financing Activity,,-79.0,-72.0,-226.0,58.0,-31.0,-342.0,-551.0,-142.0,-215.0
Net Cash Flow,,18.0,-88.0,28.0,130.0,-62.0,-172.0,-4.0,281.0,-160.0
Free Cash Flow,,82.0,47.0,34.0,255.0,105.0,305.0,553.0,398.0,547.0
CFO/OP,,111.0,135.0,127.0,116.0,92.0,102.0,115.0,123.0,107.0
Profit from operations,Cash from Operating Activity,554.0,544.0,740.0,748.0,866.0,978.0,1011.0,1131.0,926.0
Receivables,Cash from Operating Activity,-74.0,-70.0,-36.0,38.0,-36.0,7.0,87.0,-94.0,-20.0
Inventory,Cash from Operating Activity,-54.0,43.0,18.0,-34.0,-120.0,-153.0,89.0,74.0,3.0
Payables,Cash from Operating Activity,123.0,222.0,236.0,-5.0,55.0,202.0,-103.0,184.0,221.0
Other WC items,Cash from Operating Activity,-23.0,-13.0,-174.0,38.0,-78.0,-74.0,83.0,-13.0,-146.0
Working capital changes,Cash from Operating Activity,-27.0,182.0,44.0,37.0,-180.0,-18.0,156.0,152.0,58.0
Direct taxes,Cash from Operating Activity,-81.0,-96.0,-107.0,-84.0,-106.0,-137.0,-125.0,-115.0,-69.0
Fixed assets purchased,Cash from Investing Activity,-364.0,-583.0,-643.0,-446.0,-476.0,-518.0,-511.0,-770.0,-368.0
Fixed assets sold,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0
Investments purchased,Cash from Investing Activity,-945.0,-789.0,-881.0,-1210.0,-2219.0,-1634.0,-2804.0,-2344.0,-2077.0
Investments sold,Cash from Investing Activity,1363.0,888.0,912.0,1078.0,2146.0,1717.0,2735.0,2255.0,2122.0
Interest received,Cash from Investing Activity,16.0,55.0,89.0,62.0,26.0,54.0,82.0,50.0,51.0
Dividends received,Cash from Investing Activity,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other investing items,Cash from Investing Activity,-422.0,-216.0,98.0,-112.0,-88.0,-272.0,-18.0,64.0,-588.0
