,parent_line_item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,-3.0,4.0,12.0,46.0,-46.0,45.0,25.0,
Cash from Investing Activity,,-5.0,-6.0,-77.0,10.0,-2.0,-87.0,-17.0,
Cash from Financing Activity,,9.0,5.0,63.0,-41.0,33.0,74.0,-17.0,
Net Cash Flow,,1.0,3.0,-2.0,15.0,-14.0,31.0,-9.0,
Free Cash Flow,,-7.0,-1.0,6.0,22.0,-71.0,10.0,-10.0,
CFO/OP,,11.0,25.0,44.0,96.0,-63.0,63.0,48.0,
Profit from operations,Cash from Operating Activity,,43.0,45.0,57.0,60.0,59.0,105.0,129.0
Receivables,Cash from Operating Activity,,-21.0,-3.0,-43.0,-19.0,-73.0,-97.0,-90.0
Inventory,Cash from Operating Activity,,4.0,-14.0,8.0,-27.0,-57.0,-1.0,-9.0
Payables,Cash from Operating Activity,,-21.0,-16.0,1.0,41.0,37.0,56.0,28.0
Working capital changes,Cash from Operating Activity,,-38.0,-34.0,-34.0,-5.0,-93.0,-42.0,-71.0
Direct taxes,Cash from Operating Activity,,-7.0,-7.0,-12.0,-9.0,-12.0,-18.0,-34.0
Proceeds from shares,Cash from Financing Activity,,0.0,17.98,157.4,0.0,0.0,131.5,0.0
Proceeds from borrowings,Cash from Financing Activity,,27.8,0.14,0.0,1.2,50.27,1.61,11.08
Repayment of borrowings,Cash from Financing Activity,,-8.94,-13.17,-59.23,-24.8,-0.28,-43.13,-0.18
Interest paid fin,Cash from Financing Activity,,-9.53,-10.57,-9.13,-5.95,-4.62,-5.16,-3.32
Dividends paid,Cash from Financing Activity,,0.0,0.0,0.0,0.0,0.0,0.0,-4.03
Financial liabilities,Cash from Financing Activity,,-0.04,-0.07,0.0,0.0,0.0,-0.36,-0.49
Other financing items,Cash from Financing Activity,,-0.76,11.07,-25.94,-11.14,-12.26,-10.8,-19.69
