,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020
Cash from Operating Activity,,28.0,-24.0,118.0,529.0,424.0,58.0
Cash from Investing Activity,,181.0,145.0,-588.0,-397.0,-254.0,588.0
Cash from Financing Activity,,-171.0,-101.0,-81.0,-213.0,-173.0,-562.0
Net Cash Flow,,37.0,20.0,-550.0,-82.0,-3.0,84.0
Free Cash Flow,,-67.0,-122.0,12.0,322.0,215.0,-142.0
CFO/OP,,58.0,105.0,93.0,144.0,115.0,58.0
Profit from operations,Cash from Operating Activity,421.0,80.0,346.0,559.0,623.0,276.0
Receivables,Cash from Operating Activity,6.0,-35.0,-99.0,51.0,58.0,-2.0
Inventory,Cash from Operating Activity,-95.0,-19.0,41.0,25.0,-5.0,-75.0
Loans Advances,Cash from Operating Activity,-23.0,22.0,-1.0,-0.0,0.0,0.0
Other WC items,Cash from Operating Activity,-88.0,25.0,-8.0,124.0,14.0,-49.0
Working capital changes,Cash from Operating Activity,-199.0,-6.0,-68.0,200.0,67.0,-126.0
Direct taxes,Cash from Operating Activity,-194.0,-98.0,-161.0,-230.0,-266.0,-90.0
Exceptional CF items,Cash from Operating Activity,0.0,0.0,0.0,0.0,0.0,-2.0
Fixed assets purchased,Cash from Investing Activity,-95.0,-98.0,-106.0,-207.0,-208.0,-200.0
Investments purchased,Cash from Investing Activity,0.0,0.0,0.0,-23.0,-91.0,0.0
Investments sold,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,108.0
Interest received,Cash from Investing Activity,276.0,243.0,173.0,152.0,165.0,155.0
Dividends received,Cash from Investing Activity,0.0,0.0,0.0,0.0,4.0,7.0
Investment in group cos,Cash from Investing Activity,0.0,0.0,0.0,0.0,-0.0,-0.0
Other investing items,Cash from Investing Activity,0.0,0.0,-654.0,-319.0,-124.0,518.0
Dividends paid,Cash from Financing Activity,-171.0,-101.0,-80.0,-193.0,-171.0,-179.0
Other financing items,Cash from Financing Activity,0.0,0.0,-0.0,-21.0,-2.0,-383.0
