,parent_line_item,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,5539.0,3823.0,8995.0,8328.0,8971.0,13359.0,19618.0,16900.0,18009.0,22448.0,22261.0,19975.0
Cash from Investing Activity,,-2088.0,-2208.0,-3890.0,-2236.0,-3256.0,-12332.0,-5665.0,1597.0,-3573.0,-6608.0,-4896.0,-656.0
Cash from Financing Activity,,-3140.0,-2237.0,-4517.0,-5714.0,-1471.0,-3168.0,-11192.0,-14508.0,-15881.0,-15464.0,-18561.0,-19369.0
Net Cash Flow,,311.0,-623.0,588.0,378.0,4244.0,-2141.0,2761.0,3989.0,-1445.0,376.0,-1196.0,-50.0
Free Cash Flow,,4338.0,3074.0,5184.0,3007.0,5537.0,11530.0,17865.0,15345.0,16565.0,21432.0,21178.0,18576.0
CFO/OP,,86.0,79.0,106.0,95.0,83.0,92.0,115.0,99.0,96.0,110.0,104.0,90.0
Profit from operations,Cash from Operating Activity,8502.0,6735.0,10681.0,11918.0,14058.0,17477.0,20022.0,20892.0,23012.0,24355.0,25494.0,25573.0
Receivables,Cash from Operating Activity,-887.0,-1087.0,-743.0,-1126.0,-1458.0,-1957.0,585.0,-2809.0,-3240.0,248.0,-119.0,-2248.0
Inventory,Cash from Operating Activity,-41.0,-87.0,-20.0,117.0,108.0,24.0,72.0,207.0,-37.0,60.0,77.0,-59.0
Payables,Cash from Operating Activity,0.0,48.0,56.0,243.0,377.0,-208.0,608.0,718.0,-175.0,-681.0,249.0,736.0
Loans Advances,Cash from Operating Activity,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other WC items,Cash from Operating Activity,-383.0,-377.0,1028.0,-468.0,-1493.0,581.0,1776.0,1335.0,2147.0,2678.0,803.0,49.0
Working capital changes,Cash from Operating Activity,-1188.0,-1503.0,321.0,-1234.0,-2466.0,-1560.0,3041.0,-549.0,-1305.0,2305.0,1010.0,-1522.0
Direct taxes,Cash from Operating Activity,-1774.0,-1409.0,-2007.0,-2356.0,-2621.0,-2558.0,-3445.0,-3443.0,-3698.0,-4212.0,-4243.0,-4076.0
Fixed assets purchased,Cash from Investing Activity,-1208.0,-942.0,-3921.0,-5344.0,-3465.0,-1866.0,-1904.0,-1645.0,-1661.0,-1048.0,-1108.0,-1422.0
Fixed assets sold,Cash from Investing Activity,7.0,194.0,110.0,23.0,31.0,37.0,151.0,90.0,217.0,32.0,25.0,23.0
Investments purchased,Cash from Investing Activity,-8215.0,-6873.0,-11685.0,-20032.0,-24257.0,-35438.0,-20799.0,-32586.0,-34623.0,-41682.0,-43865.0,-48693.0
Investments sold,Cash from Investing Activity,8155.0,7121.0,11210.0,18714.0,24777.0,30785.0,21109.0,33215.0,35635.0,40342.0,43711.0,49369.0
Interest received,Cash from Investing Activity,830.0,645.0,854.0,500.0,511.0,282.0,676.0,590.0,636.0,1041.0,1322.0,1430.0
Dividends received,Cash from Investing Activity,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0
Investment in group cos,Cash from Investing Activity,0.0,-14.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Redemp n Canc of Shares,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687.0,0.0
Acquisition of companies,Cash from Investing Activity,0.0,0.0,0.0,-144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inter corporate deposits,Cash from Investing Activity,0.0,-792.0,-515.0,-1143.0,1978.0,-1754.0,-1422.0,1633.0,606.0,526.0,-482.0,495.0
Other investing items,Cash from Investing Activity,-1662.0,-1548.0,71.0,5190.0,-2831.0,-4378.0,-3476.0,300.0,-4383.0,-5819.0,-5190.0,-1861.0
Proceeds from shares,Cash from Financing Activity,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Redemption of debentures,Cash from Financing Activity,-500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Proceeds from borrowings,Cash from Financing Activity,672.0,745.0,228.0,19.0,4500.0,1085.0,4567.0,77.0,124.0,358.0,377.0,318.0
Repayment of borrowings,Cash from Financing Activity,-473.0,-264.0,-623.0,-167.0,-886.0,-1331.0,-11336.0,-508.0,-2003.0,-544.0,-508.0,-2627.0
Interest paid fin,Cash from Financing Activity,-24.0,-8.0,-19.0,-14.0,-71.0,-136.0,-139.0,-69.0,-80.0,-64.0,-51.0,-46.0
Dividends paid,Cash from Financing Activity,-2385.0,-2251.0,-3386.0,-1691.0,-1099.0,-1357.0,-3256.0,-11391.0,-12995.0,-14073.0,-16250.0,-14618.0
Financial liabilities,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,0.0,-1016.0,-1067.0,-927.0,-1148.0,-1453.0,-1685.0
Other financing items,Cash from Financing Activity,-441.0,-460.0,-717.0,-3861.0,-3915.0,-1429.0,-12.0,-1550.0,0.0,7.0,-676.0,-711.0
