,parent_line_item,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,1352.0,1457.0,1390.0,1554.0,1118.0,2255.0,2219.0,2835.0,-1235.0,2995.0,1711.0,-1364.0
Cash from Investing Activity,,-1457.0,-904.0,-533.0,-379.0,-364.0,-321.0,-535.0,-988.0,-4637.0,-1205.0,-1262.0,1273.0
Cash from Financing Activity,,-837.0,-716.0,-430.0,-426.0,-380.0,-374.0,-327.0,-331.0,-1238.0,-443.0,-1002.0,-422.0
Net Cash Flow,,-942.0,-164.0,426.0,750.0,374.0,1559.0,1357.0,1517.0,-7110.0,1347.0,-553.0,-513.0
Free Cash Flow,,-251.0,337.0,889.0,1034.0,620.0,1760.0,1471.0,1682.0,-3216.0,1646.0,-242.0,-2393.0
CFO/OP,,104.0,107.0,114.0,93.0,80.0,112.0,124.0,104.0,-43.0,104.0,59.0,-55.0
Profit from operations,Cash from Operating Activity,1530.0,1636.0,1480.0,1864.0,2036.0,2432.0,2538.0,2991.0,1840.0,3044.0,3099.0,3021.0
Receivables,Cash from Operating Activity,-192.0,-219.0,-70.0,-779.0,-268.0,219.0,138.0,-27.0,-422.0,39.0,-343.0,-2696.0
Inventory,Cash from Operating Activity,-148.0,59.0,-48.0,-174.0,-279.0,531.0,232.0,-379.0,-283.0,-222.0,-67.0,147.0
Payables,Cash from Operating Activity,400.0,212.0,301.0,862.0,157.0,-442.0,-47.0,489.0,-403.0,318.0,-129.0,726.0
Loans Advances,Cash from Operating Activity,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0
Other WC items,Cash from Operating Activity,0.0,0.0,0.0,0.0,0.0,-112.0,65.0,47.0,-1563.0,-1.0,-757.0,-2836.0
Working capital changes,Cash from Operating Activity,60.0,52.0,183.0,-91.0,-391.0,270.0,388.0,130.0,-2671.0,133.0,-1296.0,-4659.0
Direct taxes,Cash from Operating Activity,-237.0,-231.0,-274.0,-219.0,-528.0,-447.0,-707.0,-286.0,-404.0,-182.0,-92.0,274.0
Fixed assets purchased,Cash from Investing Activity,-1606.0,-1124.0,-522.0,-535.0,-520.0,-549.0,-749.0,-1175.0,-2105.0,-1395.0,-1968.0,-1427.0
Fixed assets sold,Cash from Investing Activity,3.0,4.0,21.0,14.0,23.0,54.0,1.0,22.0,124.0,46.0,15.0,398.0
Investments purchased,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,-10.0,0.0,-751.0,-707.0,0.0
Investments sold,Cash from Investing Activity,43.0,24.0,23.0,64.0,36.0,22.0,16.0,10.0,17.0,19.0,60.0,1500.0
Interest received,Cash from Investing Activity,125.0,63.0,65.0,70.0,92.0,177.0,187.0,177.0,215.0,512.0,367.0,115.0
Dividends received,Cash from Investing Activity,10.0,2.0,8.0,5.0,1.0,2.0,0.0,2.0,2.0,8.0,3.0,2.0
Redemp n Canc of Shares,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
Acquisition of companies,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-423.0,-299.0,-18.0
Other investing items,Cash from Investing Activity,-32.0,127.0,-129.0,3.0,5.0,-27.0,-6.0,-12.0,-2891.0,780.0,1267.0,703.0
Proceeds from shares,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Repayment of borrowings,Cash from Financing Activity,-35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.0,-2.0
Interest paid fin,Cash from Financing Activity,-49.0,-41.0,-46.0,-42.0,-41.0,-57.0,-40.0,-32.0,-73.0,-143.0,-99.0,-98.0
Dividends paid,Cash from Financing Activity,-645.0,-562.0,-319.0,-319.0,-282.0,-263.0,-263.0,-263.0,-1089.0,-175.0,-143.0,-141.0
Financial liabilities,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,0.0,-25.0,-36.0,-76.0,-125.0,-745.0,-181.0
Other financing items,Cash from Financing Activity,-108.0,-113.0,-65.0,-65.0,-58.0,-54.0,0.0,0.0,0.0,0.0,0.0,0.0
