,parent_line_item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,25.0,17.0,17.0,39.0,44.0,60.0,64.0,-3.0,150.0,205.0
Cash from Investing Activity,,-50.0,-51.0,-78.0,-43.0,-21.0,-52.0,-20.0,-226.0,-420.0,-598.0
Cash from Financing Activity,,26.0,43.0,47.0,5.0,-19.0,-1.0,-18.0,304.0,520.0,254.0
Net Cash Flow,,1.0,9.0,-13.0,1.0,3.0,7.0,26.0,75.0,249.0,-140.0
Free Cash Flow,,24.0,16.0,-60.0,-4.0,24.0,21.0,44.0,-96.0,-161.0,-112.0
CFO/OP,,148.0,103.0,99.0,109.0,67.0,65.0,75.0,22.0,78.0,98.0
Profit from operations,Cash from Operating Activity,17.0,18.0,20.0,38.0,67.0,112.0,136.0,183.0,226.0,310.0
Receivables,Cash from Operating Activity,10.0,2.0,-3.0,-5.0,-20.0,-49.0,-22.0,-119.0,-74.0,-92.0
Inventory,Cash from Operating Activity,-0.0,-0.0,-0.0,-1.0,-1.0,-2.0,-1.0,-2.0,-13.0,0.0
Payables,Cash from Operating Activity,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0
Other WC items,Cash from Operating Activity,-2.0,-1.0,4.0,10.0,-1.0,11.0,-12.0,-21.0,38.0,-12.0
Working capital changes,Cash from Operating Activity,9.0,1.0,0.0,4.0,-22.0,-39.0,-35.0,-142.0,-50.0,-23.0
Direct taxes,Cash from Operating Activity,-1.0,-2.0,-2.0,-3.0,-2.0,-13.0,-37.0,-44.0,-27.0,-82.0
Fixed assets purchased,Cash from Investing Activity,-1.0,-1.0,-78.0,-43.0,-20.0,-39.0,-20.0,-93.0,-311.0,-317.0
Investments purchased,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-74.0,-2.0
Investments sold,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,77.0
Interest received,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
Invest in subsidiaries,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-251.0
Acquisition of companies,Cash from Investing Activity,0.0,0.0,0.0,0.0,-1.0,-13.0,0.0,-20.0,-93.0,0.0
Other investing items,Cash from Investing Activity,-49.0,-50.0,0.0,-0.0,0.0,-0.0,-0.0,-112.0,55.0,-125.0
