,parent_line_item,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,60.0,-78.0,-119.0,45.0,58.0,169.0
Cash from Investing Activity,,178.0,-219.0,169.0,19.0,-467.0,-171.0
Cash from Financing Activity,,-213.0,282.0,-37.0,-14.0,384.0,-11.0
Net Cash Flow,,24.0,-15.0,13.0,50.0,-25.0,-13.0
Free Cash Flow,,55.0,-100.0,-144.0,21.0,15.0,971.0
CFO/OP,,-18.0,36.0,53.0,-24.0,50.0,111.0
Profit from operations,Cash from Operating Activity,-169.0,-151.0,-165.0,4.0,97.0,189.0
Receivables,Cash from Operating Activity,95.0,37.0,31.0,15.0,-9.0,-0.0
Payables,Cash from Operating Activity,-5.0,8.0,3.0,4.0,-3.0,24.0
Loans Advances,Cash from Operating Activity,0.0,-0.0,0.0,-13.0,-32.0,-18.0
Other WC items,Cash from Operating Activity,125.0,23.0,8.0,28.0,-6.0,-9.0
Working capital changes,Cash from Operating Activity,215.0,67.0,43.0,34.0,-51.0,-4.0
Interest paid,Cash from Operating Activity,-22.0,0.0,0.0,0.0,0.0,0.0
Direct taxes,Cash from Operating Activity,23.0,6.0,3.0,6.0,12.0,-16.0
Other operating items,Cash from Operating Activity,14.0,0.0,0.0,0.0,0.0,0.0
Exceptional CF items,Cash from Operating Activity,-0.0,0.0,0.0,0.0,0.0,0.0
Fixed assets purchased,Cash from Investing Activity,-5.0,-22.0,-26.0,-24.0,-44.0,-112.0
Fixed assets sold,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,913.0
Investments purchased,Cash from Investing Activity,0.0,-941.0,-1101.0,-1486.0,-1298.0,-788.0
Investments sold,Cash from Investing Activity,250.0,759.0,1128.0,1636.0,1398.0,796.0
Interest received,Cash from Investing Activity,33.0,15.0,20.0,12.0,25.0,51.0
Redemp n Canc of Shares,Cash from Investing Activity,0.0,0.0,5.0,0.0,0.0,0.0
Inter corporate deposits,Cash from Investing Activity,0.0,-65.0,121.0,-15.0,-21.0,0.0
Other investing items,Cash from Investing Activity,-101.0,35.0,22.0,-104.0,-527.0,-1031.0
Proceeds from shares,Cash from Financing Activity,0.0,0.0,0.0,0.0,550.09,0.44
Redemption of debentures,Cash from Financing Activity,-7.14,0.0,0.0,0.0,-22.25,0.0
Proceeds from borrowings,Cash from Financing Activity,0.0,930.94,948.73,903.85,514.24,26.0
Repayment of borrowings,Cash from Financing Activity,-149.83,-1125.67,-972.15,-904.28,-632.54,-29.84
Interest paid fin,Cash from Financing Activity,-53.04,-28.84,-10.64,-10.46,-7.12,-5.48
Financial liabilities,Cash from Financing Activity,0.0,-2.47,-2.86,-2.94,-2.77,-2.59
Other financing items,Cash from Financing Activity,-3.32,508.12,0.0,0.0,-15.96,0.0
