,parent_line_item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,-347.0,-113.0,24.0,-199.0,94.0,-432.0,-294.0,974.0,-135.0,-135.0
Cash from Investing Activity,,-75.0,-93.0,-126.0,-73.0,-304.0,178.0,46.0,-543.0,651.0,924.0
Cash from Financing Activity,,468.0,364.0,-19.0,285.0,198.0,241.0,241.0,-322.0,-485.0,-913.0
Net Cash Flow,,45.0,158.0,-121.0,13.0,-12.0,-12.0,-6.0,109.0,30.0,-124.0
Free Cash Flow,,-424.0,-210.0,-104.0,-261.0,91.0,-489.0,-338.0,937.0,63.0,775.0
CFO/OP,,332.0,-138.0,-24.0,-138.0,190.0,-403.0,191.0,-306.0,226.0,-131.0
Profit from operations,Cash from Operating Activity,99.0,183.0,369.0,240.0,136.0,130.0,-154.0,-282.0,-101.0,32.0
Receivables,Cash from Operating Activity,456.0,-1161.0,-106.0,-647.0,-893.0,-907.0,33.0,0.0,0.0,724.0
Inventory,Cash from Operating Activity,-40.0,-17.0,7.0,-28.0,-20.0,0.0,-56.0,23.0,-9.0,25.0
Payables,Cash from Operating Activity,-867.0,883.0,-246.0,236.0,872.0,345.0,-116.0,777.0,1652.0,-557.0
Other WC items,Cash from Operating Activity,4.0,-1.0,0.0,1.0,0.0,0.0,0.0,456.0,-1677.0,-282.0
Working capital changes,Cash from Operating Activity,-447.0,-296.0,-345.0,-438.0,-42.0,-562.0,-139.0,1256.0,-34.0,-89.0
Direct taxes,Cash from Operating Activity,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-78.0
Fixed assets purchased,Cash from Investing Activity,0.0,0.0,-128.0,-64.0,-31.0,-60.0,0.0,-38.0,-16.0,-4.0
Fixed assets sold,Cash from Investing Activity,0.0,92.0,0.0,2.0,28.0,3.0,16.0,0.0,214.0,914.0
Capital WIP,Cash from Investing Activity,-76.0,-190.0,0.0,0.0,0.0,0.0,-61.0,0.0,0.0,0.0
Investments purchased,Cash from Investing Activity,0.0,0.0,-2.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0
Investments sold,Cash from Investing Activity,0.0,3.0,0.0,2.0,2.0,1.0,0.0,0.0,426.0,0.0
Interest received,Cash from Investing Activity,1.0,2.0,4.0,16.0,12.0,5.0,5.0,3.0,27.0,14.0
Other investing items,Cash from Investing Activity,0.0,0.0,0.0,-28.0,-314.0,229.0,85.0,-509.0,0.0,0.0
Proceeds from shares,Cash from Financing Activity,80.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0
Proceeds from borrowings,Cash from Financing Activity,40.0,47.0,32.0,0.0,250.0,148.0,264.0,0.0,0.0,0.0
Repayment of borrowings,Cash from Financing Activity,0.0,0.0,0.0,-43.0,0.0,0.0,0.0,-81.0,-320.0,-716.0
Interest paid fin,Cash from Financing Activity,-153.0,-153.0,-106.0,-141.0,-160.0,-192.0,-210.0,-241.0,-224.0,-197.0
Share application money,Cash from Financing Activity,0.0,137.0,55.0,105.0,105.0,72.0,107.0,0.0,0.0,0.0
Other financing items,Cash from Financing Activity,500.0,133.0,0.0,364.0,3.0,214.0,80.0,-0.0,0.0,0.0
