,parent_line_item,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,305.0,437.0,-103.0,-621.0,626.0,658.0,914.0,449.0,354.0,347.0,619.0
Cash from Investing Activity,,-53.0,-90.0,36.0,-103.0,-41.0,-110.0,-70.0,-88.0,-449.0,-195.0,-380.0
Cash from Financing Activity,,-239.0,-368.0,64.0,713.0,-495.0,-604.0,-771.0,-139.0,-133.0,-146.0,-137.0
Net Cash Flow,,13.0,-22.0,-3.0,-11.0,90.0,-56.0,73.0,223.0,-227.0,6.0,103.0
Free Cash Flow,,255.0,389.0,-138.0,-677.0,597.0,638.0,871.0,378.0,223.0,318.0,534.0
CFO/OP,,137.0,198.0,-17.0,-143.0,327.0,221.0,383.0,126.0,137.0,114.0,455.0
Profit from operations,Cash from Operating Activity,315.0,297.0,367.0,387.0,222.0,346.0,294.0,404.0,289.0,344.0,206.0
Receivables,Cash from Operating Activity,9.0,-5.0,-400.0,-1096.0,627.0,604.0,572.0,-495.0,-49.0,-132.0,119.0
Inventory,Cash from Operating Activity,-32.0,-65.0,-8.0,-240.0,131.0,-280.0,20.0,-65.0,219.0,39.0,184.0
Payables,Cash from Operating Activity,95.0,296.0,143.0,687.0,-419.0,8.0,42.0,735.0,-40.0,83.0,117.0
Other WC items,Cash from Operating Activity,-25.0,-43.0,-151.0,-219.0,110.0,-8.0,31.0,-114.0,-60.0,15.0,0.0
Working capital changes,Cash from Operating Activity,47.0,183.0,-415.0,-868.0,449.0,324.0,665.0,61.0,70.0,5.0,421.0
Direct taxes,Cash from Operating Activity,-57.0,-44.0,-54.0,-139.0,-45.0,-12.0,-45.0,-23.0,-3.0,-2.0,-8.0
Exceptional CF items,Cash from Operating Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,-3.0,0.0,0.0
Proceeds from shares,Cash from Financing Activity,3.0,6.0,17.0,9.0,348.0,10.0,14.0,9.0,5.0,6.0,1.0
Proceeds from borrowings,Cash from Financing Activity,121.0,254.0,0.0,1017.0,295.0,19.0,13.0,0.0,0.0,0.0,0.0
Repayment of borrowings,Cash from Financing Activity,-218.0,-550.0,0.0,-160.0,-929.0,-538.0,-653.0,-45.0,-0.0,0.0,0.0
Interest paid fin,Cash from Financing Activity,-87.0,-77.0,-76.0,-110.0,-144.0,-68.0,-127.0,-47.0,-62.0,-69.0,-55.0
Dividends paid,Cash from Financing Activity,-43.0,-0.0,-28.0,-36.0,-36.0,0.0,0.0,-34.0,-46.0,-35.0,-35.0
Financial liabilities,Cash from Financing Activity,0.0,0.0,0.0,0.0,-22.0,-27.0,-18.0,-16.0,-29.0,-49.0,-48.0
Other financing items,Cash from Financing Activity,-15.0,-2.0,151.0,-7.0,-7.0,0.0,0.0,-6.0,0.0,0.0,0.0
