,parent_line_item,Mar 2025,Mar 2026
Cash from Operating Activity,,1144.0,1219.0
Cash from Investing Activity,,139.0,-198.0
Cash from Financing Activity,,-1230.0,-983.0
Net Cash Flow,,53.0,38.0
Free Cash Flow,,901.0,896.0
CFO/OP,,94.0,93.0
Profit from operations,Cash from Operating Activity,1231.0,1356.0
Receivables,Cash from Operating Activity,-377.0,126.0
Inventory,Cash from Operating Activity,93.0,-240.0
Payables,Cash from Operating Activity,166.0,172.0
Other WC items,Cash from Operating Activity,35.0,-158.0
Working capital changes,Cash from Operating Activity,-83.0,-101.0
Direct taxes,Cash from Operating Activity,-4.0,-37.0
Fixed assets purchased,Cash from Investing Activity,-246.0,-326.0
Fixed assets sold,Cash from Investing Activity,3.0,3.0
Investments sold,Cash from Investing Activity,245.0,108.0
Interest received,Cash from Investing Activity,6.0,17.0
Other investing items,Cash from Investing Activity,132.0,0.0
Proceeds from shares,Cash from Financing Activity,0.0,0.0
Proceeds from borrowings,Cash from Financing Activity,37.0,537.0
Repayment of borrowings,Cash from Financing Activity,-491.0,-656.0
Interest paid fin,Cash from Financing Activity,-324.0,-313.0
Financial liabilities,Cash from Financing Activity,-453.0,-524.0
Other financing items,Cash from Financing Activity,0.0,-27.0
