,parent_line_item,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,569.0,252.0,338.0,391.0,106.0,941.0,622.0,308.0,353.0,383.0,192.0
Cash from Investing Activity,,-77.0,35.0,-162.0,-228.0,49.0,-877.0,-440.0,-294.0,-83.0,8.0,-156.0
Cash from Financing Activity,,-494.0,-282.0,-175.0,-163.0,-105.0,-90.0,-190.0,-29.0,-277.0,-349.0,-49.0
Net Cash Flow,,-2.0,4.0,1.0,-0.0,51.0,-26.0,-8.0,-15.0,-6.0,42.0,-13.0
Free Cash Flow,,538.0,157.0,166.0,289.0,46.0,876.0,918.0,140.0,267.0,268.0,133.0
CFO/OP,,156.0,76.0,95.0,94.0,49.0,116.0,94.0,128.0,85.0,122.0,53.0
Profit from operations,Cash from Operating Activity,435.0,565.0,488.0,576.0,477.0,1000.0,1033.0,289.0,586.0,460.0,742.0
Receivables,Cash from Operating Activity,26.0,-35.0,9.0,-31.0,1.0,-75.0,-186.0,37.0,-160.0,78.0,17.0
Inventory,Cash from Operating Activity,111.0,-110.0,-54.0,-9.0,-237.0,-61.0,-97.0,342.0,-55.0,-54.0,-244.0
Payables,Cash from Operating Activity,92.0,-10.0,27.0,34.0,-79.0,167.0,27.0,-174.0,1.0,159.0,-80.0
Loans Advances,Cash from Operating Activity,0.0,0.0,-0.0,-3.0,-0.0,-0.0,-22.0,-1.0,7.0,4.0,-25.0
Operating Deposits,Cash from Operating Activity,0.0,-2.0,-6.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other WC items,Cash from Operating Activity,-29.0,19.0,-7.0,6.0,58.0,123.0,202.0,-118.0,120.0,-65.0,-51.0
Working capital changes,Cash from Operating Activity,201.0,-138.0,-30.0,-8.0,-258.0,152.0,-76.0,86.0,-88.0,122.0,-383.0
Direct taxes,Cash from Operating Activity,-66.0,-175.0,-120.0,-177.0,-113.0,-212.0,-336.0,-68.0,-145.0,-199.0,-168.0
Fixed assets purchased,Cash from Investing Activity,-33.0,-96.0,-173.0,-102.0,-61.0,-65.0,-84.0,-169.0,-86.0,-116.0,-65.0
Fixed assets sold,Cash from Investing Activity,1.0,1.0,0.0,0.0,1.0,0.0,381.0,1.0,0.0,0.0,6.0
Investments purchased,Cash from Investing Activity,-93.0,0.0,-4.0,-152.0,0.0,-586.0,-1038.0,-172.0,-68.0,-316.0,-203.0
Investments sold,Cash from Investing Activity,0.0,123.0,8.0,8.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0
Interest received,Cash from Investing Activity,6.0,0.0,0.0,8.0,5.0,26.0,41.0,28.0,31.0,50.0,36.0
Dividends received,Cash from Investing Activity,5.0,7.0,8.0,10.0,11.0,13.0,13.0,14.0,17.0,19.0,20.0
Other investing items,Cash from Investing Activity,35.0,0.0,-1.0,0.0,-14.0,-265.0,247.0,4.0,23.0,371.0,50.0
Proceeds from borrowings,Cash from Financing Activity,0.0,0.0,7.0,0.0,193.0,0.0,73.0,248.0,0.0,0.0,201.0
Repayment of borrowings,Cash from Financing Activity,-407.0,-117.0,0.0,-11.0,0.0,-78.0,0.0,0.0,-146.0,-158.0,0.0
Interest paid fin,Cash from Financing Activity,-44.0,-18.0,-10.0,-7.0,-11.0,-8.0,-14.0,-25.0,-35.0,-30.0,-20.0
Dividends paid,Cash from Financing Activity,-29.0,-149.0,-172.0,-145.0,-287.0,-4.0,-248.0,-248.0,-93.0,-155.0,-223.0
Financial liabilities,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-7.0,-7.0
Other financing items,Cash from Financing Activity,-14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
