,parent_line_item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,1875.0,1606.0,1843.0,2340.0,3604.0,1932.0,2252.0,2635.0,2117.0,2278.0
Cash from Investing Activity,,-139.0,135.0,189.0,-1760.0,-300.0,-1045.0,-2326.0,-2750.0,-2270.0,-3023.0
Cash from Financing Activity,,-1749.0,-1564.0,-2067.0,-594.0,-3375.0,-942.0,168.0,222.0,-39.0,808.0
Net Cash Flow,,-13.0,177.0,-35.0,-14.0,-71.0,-55.0,94.0,107.0,-192.0,63.0
Free Cash Flow,,1483.0,1213.0,917.0,995.0,2577.0,176.0,-449.0,-88.0,-509.0,237.0
CFO/OP,,100.0,83.0,96.0,116.0,129.0,79.0,97.0,102.0,91.0,77.0
Profit from operations,Cash from Operating Activity,1922.0,2051.0,2030.0,2130.0,2779.0,2423.0,2343.0,2643.0,2418.0,3036.0
Receivables,Cash from Operating Activity,-116.0,-443.0,11.0,127.0,-25.0,-168.0,-30.0,-136.0,-66.0,25.0
Inventory,Cash from Operating Activity,14.0,-127.0,-244.0,59.0,73.0,-210.0,-371.0,98.0,-184.0,194.0
Payables,Cash from Operating Activity,74.0,211.0,-175.0,-7.0,553.0,29.0,403.0,305.0,284.0,-536.0
Other WC items,Cash from Operating Activity,0.0,0.0,245.0,97.0,180.0,-166.0,-79.0,-221.0,-264.0,-342.0
Working capital changes,Cash from Operating Activity,-28.0,-359.0,-163.0,276.0,781.0,-515.0,-77.0,46.0,-230.0,-659.0
Direct taxes,Cash from Operating Activity,-19.0,-86.0,-24.0,-66.0,44.0,24.0,-14.0,-54.0,-71.0,-99.0
Fixed assets purchased,Cash from Investing Activity,-416.0,-402.0,-926.0,-1350.0,-1035.0,-1769.0,-2709.0,-2827.0,-2664.0,-2056.0
Fixed assets sold,Cash from Investing Activity,24.0,9.0,0.0,5.0,8.0,13.0,8.0,104.0,38.0,15.0
Investments purchased,Cash from Investing Activity,0.0,-188.0,-16.0,-544.0,0.0,0.0,0.0,-570.0,-54.0,-1083.0
Investments sold,Cash from Investing Activity,150.0,1.0,1228.0,0.0,672.0,544.0,331.0,0.0,77.0,0.0
Interest received,Cash from Investing Activity,69.0,105.0,48.0,62.0,106.0,46.0,58.0,100.0,87.0,24.0
Dividends received,Cash from Investing Activity,16.0,28.0,8.0,13.0,15.0,29.0,19.0,34.0,49.0,43.0
Redemp n Canc of Shares,Cash from Investing Activity,0.0,588.0,6.0,7.0,0.0,0.0,0.0,600.0,0.0,0.0
Acquisition of companies,Cash from Investing Activity,0.0,0.0,0.0,0.0,-69.0,0.0,0.0,0.0,0.0,0.0
Other investing items,Cash from Investing Activity,18.0,-6.0,-159.0,47.0,3.0,92.0,-33.0,-191.0,197.0,34.0
Proceeds from shares,Cash from Financing Activity,0.0,4.0,4.0,0.0,5.0,5.0,0.0,3.0,0.0,0.0
Proceeds from borrowings,Cash from Financing Activity,147.0,0.0,471.0,1312.0,1461.0,760.0,1534.0,1450.0,907.0,1847.0
Repayment of borrowings,Cash from Financing Activity,-1047.0,-773.0,-2349.0,-1864.0,-3995.0,-1340.0,-867.0,-561.0,-259.0,-316.0
Interest paid fin,Cash from Financing Activity,-810.0,-762.0,-522.0,-467.0,-396.0,-232.0,-297.0,-452.0,-464.0,-494.0
Dividends paid,Cash from Financing Activity,0.0,-33.0,-40.0,-93.0,0.0,-100.0,-169.0,-169.0,-169.0,-169.0
Financial liabilities,Cash from Financing Activity,0.0,0.0,0.0,-43.0,-45.0,-35.0,-33.0,-49.0,-54.0,-60.0
Other financing items,Cash from Financing Activity,-39.0,0.0,369.0,561.0,-405.0,0.0,0.0,0.0,0.0,0.0
