,parent_line_item,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,203.0,-60.0,28.0,23.0,98.0,222.0,135.0,73.0,-98.0,602.0,581.0
Cash from Investing Activity,,-35.0,-19.0,-132.0,0.0,1.0,-225.0,-821.0,111.0,-2.0,-261.0,-14.0
Cash from Financing Activity,,-33.0,18.0,46.0,-17.0,-67.0,211.0,824.0,-108.0,158.0,-34.0,-535.0
Net Cash Flow,,135.0,-61.0,-57.0,6.0,32.0,208.0,137.0,76.0,59.0,308.0,32.0
Free Cash Flow,,197.0,-78.0,22.0,25.0,91.0,214.0,117.0,35.0,-133.0,583.0,555.0
CFO/OP,,280.0,-41.0,51.0,34.0,116.0,137.0,82.0,24.0,-4.0,132.0,132.0
Profit from operations,Cash from Operating Activity,82.0,85.0,75.0,89.0,91.0,184.0,245.0,484.0,526.0,558.0,573.0
Receivables,Cash from Operating Activity,-5.0,-10.0,-49.0,-49.0,-57.0,-15.0,-164.0,-200.0,-386.0,128.0,8.0
Payables,Cash from Operating Activity,144.0,-107.0,27.0,8.0,125.0,72.0,85.0,-20.0,181.0,4.0,-98.0
Loans Advances,Cash from Operating Activity,1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other WC items,Cash from Operating Activity,0.0,0.0,-17.0,-19.0,-42.0,-1.0,13.0,-157.0,-344.0,11.0,226.0
Working capital changes,Cash from Operating Activity,141.0,-118.0,-39.0,-59.0,26.0,55.0,-66.0,-377.0,-549.0,143.0,137.0
Direct taxes,Cash from Operating Activity,0.0,0.0,-8.0,-7.0,-18.0,-17.0,-45.0,-33.0,-75.0,-98.0,-129.0
Advance tax,Cash from Operating Activity,-20.0,-26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fixed assets purchased,Cash from Investing Activity,-5.78,-18.11,-5.95,-10.54,-7.24,-7.66,-17.08,-38.06,-35.61,-21.32,-26.44
Fixed assets sold,Cash from Investing Activity,0.45,0.36,0.16,12.83,0.0,0.0,0.0,0.0,0.01,2.2,0.0
Investments purchased,Cash from Investing Activity,-0.05,0.0,0.0,-10.0,0.0,0.0,0.0,-15.91,0.0,0.0,0.0
Investments sold,Cash from Investing Activity,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,25.62,0.0,0.0
Interest received,Cash from Investing Activity,3.04,3.32,3.61,2.7,2.05,5.16,11.46,28.37,22.23,16.93,40.54
Invest in subsidiaries,Cash from Investing Activity,0.0,0.0,0.0,0.0,-19.68,0.0,0.0,0.0,0.0,0.0,0.0
Acquisition of companies,Cash from Investing Activity,0.0,0.0,-81.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other investing items,Cash from Investing Activity,-32.18,-5.3,-47.76,5.17,25.85,-222.16,-815.29,136.54,-14.04,-258.35,-28.12
Proceeds from shares,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,266.0,882.0,14.0,11.0,7.0,0.0
Proceeds from borrowings,Cash from Financing Activity,0.0,19.0,56.0,0.0,0.0,0.0,0.0,127.0,332.0,598.0,0.0
Repayment of borrowings,Cash from Financing Activity,-6.0,-1.0,-1.0,-5.0,-36.0,-38.0,-4.0,-15.0,-90.0,-515.0,-437.0
Interest paid fin,Cash from Financing Activity,-1.0,-0.0,-1.0,-2.0,-3.0,-3.0,-2.0,-8.0,-17.0,-39.0,-12.0
Dividends paid,Cash from Financing Activity,-26.0,0.0,-8.0,-9.0,-17.0,0.0,-30.0,-69.0,-70.0,-74.0,-72.0
Financial liabilities,Cash from Financing Activity,0.0,0.0,0.0,-1.0,-7.0,-6.0,-5.0,-7.0,-8.0,-10.0,-14.0
Other financing items,Cash from Financing Activity,0.0,1.0,0.0,0.0,-5.0,-8.0,-18.0,-149.0,0.0,0.0,0.0
