,parent_line_item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,188.0,65.0,46.0,143.0,35.0,287.0,643.0
Cash from Investing Activity,,-50.0,-3.0,-81.0,-105.0,-78.0,-498.0,-209.0
Cash from Financing Activity,,-146.0,5.0,3.0,29.0,28.0,242.0,-190.0
Net Cash Flow,,-7.0,66.0,-32.0,67.0,-15.0,32.0,244.0
Free Cash Flow,,176.0,40.0,-29.0,91.0,8.0,150.0,532.0
CFO/OP,,79.0,41.0,33.0,43.0,26.0,54.0,100.0
Profit from operations,Cash from Operating Activity,150.0,185.0,129.0,282.0,487.0,630.0,754.0
Receivables,Cash from Operating Activity,-145.0,-60.0,-599.0,-14.0,-389.0,-310.0,-426.0
Inventory,Cash from Operating Activity,-48.0,35.0,-46.0,-33.0,-67.0,-161.0,-224.0
Payables,Cash from Operating Activity,208.0,0.0,0.0,237.0,365.0,685.0,437.0
Other WC items,Cash from Operating Activity,-44.0,-132.0,514.0,-316.0,-250.0,-429.0,276.0
Working capital changes,Cash from Operating Activity,-29.0,-156.0,-131.0,-126.0,-341.0,-215.0,63.0
Interest paid,Cash from Operating Activity,86.0,81.0,67.0,0.0,0.0,0.0,0.0
Direct taxes,Cash from Operating Activity,-32.0,-51.0,-35.0,-14.0,-110.0,-128.0,-174.0
Other operating items,Cash from Operating Activity,0.0,6.0,16.0,0.0,0.0,0.0,0.0
Exceptional CF items,Cash from Operating Activity,13.0,0.0,0.0,0.0,0.0,0.0,0.0
Fixed assets purchased,Cash from Investing Activity,-12.0,-27.0,-80.0,-54.0,-29.0,-142.0,-249.0
Fixed assets sold,Cash from Investing Activity,0.0,3.0,5.0,2.0,2.0,4.0,138.0
Investments purchased,Cash from Investing Activity,-0.0,-3.0,-0.0,0.0,-4.0,-0.0,-1.0
Investments sold,Cash from Investing Activity,0.0,0.0,0.0,0.0,3.0,5.0,1.0
Interest received,Cash from Investing Activity,4.0,3.0,3.0,6.0,13.0,17.0,36.0
Redemp n Canc of Shares,Cash from Investing Activity,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Other investing items,Cash from Investing Activity,-42.0,22.0,-8.0,-59.0,-66.0,-382.0,-133.0
Proceeds from shares,Cash from Financing Activity,0.0,0.0,0.0,1.0,140.0,450.0,0.0
Proceeds from debentures,Cash from Financing Activity,0.0,27.0,30.0,0.0,0.0,0.0,0.0
Proceeds from borrowings,Cash from Financing Activity,12.0,108.0,90.0,255.0,98.0,66.0,101.0
Repayment of borrowings,Cash from Financing Activity,-77.0,-55.0,-50.0,-119.0,-60.0,-66.0,-85.0
Interest paid fin,Cash from Financing Activity,-82.0,-74.0,-61.0,-101.0,-143.0,-161.0,-186.0
Dividends paid,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,-19.0,-11.0
Financial liabilities,Cash from Financing Activity,0.0,-1.0,-7.0,-6.0,-8.0,-5.0,-10.0
Other financing items,Cash from Financing Activity,2.0,0.0,0.0,0.0,0.0,-23.0,0.0
