,parent_line_item,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,95.0,82.0,106.0,134.0,202.0,356.0,324.0,432.0,521.0,582.0,511.0
Cash from Investing Activity,,-41.0,-100.0,-64.0,-110.0,-125.0,-354.0,-412.0,-416.0,-753.0,-1116.0,-1452.0
Cash from Financing Activity,,-65.0,24.0,-39.0,-27.0,-44.0,10.0,61.0,20.0,217.0,543.0,940.0
Net Cash Flow,,-11.0,5.0,3.0,-3.0,32.0,12.0,-26.0,36.0,-15.0,9.0,-1.0
Free Cash Flow,,61.0,-18.0,49.0,57.0,150.0,262.0,154.0,-140.0,-125.0,-380.0,-902.0
CFO/OP,,88.0,80.0,192.0,195.0,102.0,104.0,86.0,87.0,102.0,91.0,83.0
Profit from operations,Cash from Operating Activity,112.0,120.0,138.0,189.0,255.0,380.0,525.0,599.0,646.0,800.0,812.0
Receivables,Cash from Operating Activity,-31.0,-27.0,-26.0,-27.0,-13.0,18.0,-23.0,-63.0,-40.0,-93.0,-168.0
Inventory,Cash from Operating Activity,-1.0,-4.0,-4.0,-6.0,-3.0,6.0,-12.0,6.0,-7.0,-13.0,-33.0
Payables,Cash from Operating Activity,0.0,0.0,24.0,2.0,13.0,24.0,10.0,-41.0,50.0,62.0,97.0
Loans Advances,Cash from Operating Activity,5.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other WC items,Cash from Operating Activity,11.0,15.0,3.0,7.0,3.0,-34.0,-49.0,28.0,12.0,-32.0,-46.0
Working capital changes,Cash from Operating Activity,-17.0,-26.0,-2.0,-23.0,0.0,14.0,-74.0,-69.0,15.0,-77.0,-150.0
Direct taxes,Cash from Operating Activity,-0.0,-13.0,-29.0,-31.0,-54.0,-38.0,-127.0,-97.0,-140.0,-141.0,-151.0
Fixed assets purchased,Cash from Investing Activity,-35.0,-100.0,-59.0,-77.0,-52.0,-94.0,-170.0,-575.0,-647.0,-1009.0,-1428.0
Fixed assets sold,Cash from Investing Activity,0.0,0.0,2.0,0.0,1.0,1.0,0.0,3.0,1.0,47.0,15.0
Investments purchased,Cash from Investing Activity,-3.0,-4.0,0.0,0.0,0.0,0.0,0.0,-190.0,-291.0,-350.0,-199.0
Investments sold,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,278.0,416.0,206.0
Interest received,Cash from Investing Activity,0.0,1.0,0.0,1.0,1.0,4.0,12.0,12.0,1.0,8.0,10.0
Invest in subsidiaries,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-148.0,0.0,0.0,0.0
Investment in group cos,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,-323.0,0.0,-74.0,-3.0,-8.0
Redemp n Canc of Shares,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acquisition of companies,Cash from Investing Activity,0.0,0.0,-8.0,-7.0,-2.0,0.0,-1.0,0.0,0.0,-112.0,0.0
Other investing items,Cash from Investing Activity,-3.0,3.0,1.0,-27.0,-73.0,-264.0,70.0,358.0,-21.0,-113.0,-48.0
Proceeds from shares,Cash from Financing Activity,0.0,31.0,0.0,88.0,0.0,0.0,192.0,0.0,0.0,0.0,0.0
Proceeds from borrowings,Cash from Financing Activity,42.0,98.0,215.0,130.0,81.0,79.0,124.0,389.0,531.0,878.0,1538.0
Repayment of borrowings,Cash from Financing Activity,-71.0,-73.0,-225.0,-211.0,-83.0,-130.0,-233.0,-241.0,-18.0,-84.0,-210.0
Interest paid fin,Cash from Financing Activity,-35.0,-31.0,-28.0,-26.0,-33.0,-27.0,-12.0,-34.0,-83.0,-150.0,-213.0
Financial liabilities,Cash from Financing Activity,0.0,0.0,-2.0,-8.0,-9.0,-7.0,-10.0,-26.0,-32.0,-13.0,-68.0
Other financing items,Cash from Financing Activity,-2.0,0.0,0.0,0.0,0.0,95.0,0.0,-69.0,-181.0,-88.0,-107.0
