,parent_line_item,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,67.0,60.0,78.0,-19.0,104.0,9.0
Cash from Investing Activity,,-60.0,-49.0,-122.0,-464.0,-628.0,-688.0
Cash from Financing Activity,,22.0,-17.0,121.0,489.0,842.0,454.0
Net Cash Flow,,30.0,-6.0,76.0,5.0,318.0,-224.0
Free Cash Flow,,37.0,23.0,9.0,-143.0,-403.0,-524.0
CFO/OP,,67.0,54.0,35.0,18.0,39.0,28.0
Profit from operations,Cash from Operating Activity,109.0,115.0,255.0,499.0,583.0,350.0
Receivables,Cash from Operating Activity,-35.0,1.0,-144.0,-256.0,-325.0,57.0
Inventory,Cash from Operating Activity,-59.0,-75.0,-172.0,-416.0,214.0,-309.0
Payables,Cash from Operating Activity,26.0,3.0,54.0,261.0,-143.0,-8.0
Loans Advances,Cash from Operating Activity,-0.0,0.0,-0.0,-0.0,0.0,-1.0
Other WC items,Cash from Operating Activity,30.0,18.0,93.0,1.0,-110.0,12.0
Working capital changes,Cash from Operating Activity,-38.0,-54.0,-168.0,-410.0,-364.0,-249.0
Direct taxes,Cash from Operating Activity,-3.0,-2.0,-9.0,-109.0,-115.0,-91.0
Proceeds from shares,Cash from Financing Activity,85.0,0.0,0.0,512.0,778.0,101.0
Proceeds from borrowings,Cash from Financing Activity,5.0,13.0,164.0,68.0,151.0,471.0
Repayment of borrowings,Cash from Financing Activity,-46.0,-12.0,-15.0,-18.0,-5.0,-5.0
Interest paid fin,Cash from Financing Activity,-21.0,-18.0,-28.0,-41.0,-59.0,-175.0
Dividends paid,Cash from Financing Activity,0.0,0.0,0.0,-32.0,-55.0,-42.0
Financial liabilities,Cash from Financing Activity,-0.0,-0.0,-0.0,-0.0,-2.0,0.0
Other financing items,Cash from Financing Activity,0.0,0.0,0.0,0.0,34.0,105.0
