,parent_line_item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,127.0,109.0,-26.0,88.0,221.0,251.0,330.0,495.0
Cash from Investing Activity,,-158.0,-259.0,-279.0,-95.0,-111.0,-190.0,-565.0,-393.0
Cash from Financing Activity,,268.0,-1.0,304.0,81.0,-190.0,-85.0,314.0,-109.0
Net Cash Flow,,237.0,-152.0,-2.0,75.0,-80.0,-24.0,80.0,-7.0
Free Cash Flow,,-30.0,-139.0,-267.0,-109.0,156.0,72.0,-33.0,-94.0
CFO/OP,,89.0,75.0,-6.0,77.0,135.0,92.0,89.0,89.0
Profit from operations,Cash from Operating Activity,230.0,183.0,177.0,132.0,187.0,315.0,452.0,591.0
Receivables,Cash from Operating Activity,-21.0,-32.0,70.0,-39.0,-44.0,21.0,-95.0,-13.0
Inventory,Cash from Operating Activity,4.0,1.0,-30.0,-53.0,-12.0,52.0,-32.0,-32.0
Payables,Cash from Operating Activity,11.0,28.0,8.0,52.0,5.0,-62.0,119.0,42.0
Other WC items,Cash from Operating Activity,-68.0,-52.0,-233.0,4.0,91.0,-62.0,-91.0,-54.0
Working capital changes,Cash from Operating Activity,-75.0,-55.0,-186.0,-36.0,39.0,-51.0,-100.0,-57.0
Direct taxes,Cash from Operating Activity,-28.0,-19.0,-17.0,-8.0,-4.0,-14.0,-21.0,-38.0
Fixed assets purchased,Cash from Investing Activity,-158.0,-248.0,-241.0,-198.0,-114.0,-179.0,-363.0,-590.0
Fixed assets sold,Cash from Investing Activity,0.0,0.0,0.0,0.0,48.0,1.0,0.0,1.0
Investments purchased,Cash from Investing Activity,0.0,0.0,0.0,0.0,-2.0,0.0,-0.0,-48.0
Investments sold,Cash from Investing Activity,0.0,0.0,1.0,99.0,0.0,0.0,0.0,0.0
Interest received,Cash from Investing Activity,1.0,9.0,3.0,9.0,8.0,12.0,16.0,22.0
Invest in subsidiaries,Cash from Investing Activity,0.0,0.0,0.0,0.0,-15.0,0.0,-34.0,0.0
Acquisition of companies,Cash from Investing Activity,0.0,-22.0,-41.0,-0.0,0.0,0.0,0.0,0.0
Inter corporate deposits,Cash from Investing Activity,0.0,0.0,0.0,0.0,-35.0,95.0,-2.0,0.0
Other investing items,Cash from Investing Activity,-1.0,1.0,-2.0,-4.0,-2.0,-119.0,-182.0,223.0
