,parent_line_item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,-389.0,0.0,567.0,-670.0,1325.0,-1270.0,-611.0,1899.0,-101.0
Cash from Investing Activity,,-26.0,0.0,-20.0,-37.0,-107.0,-89.0,-100.0,-99.0,-118.0
Cash from Financing Activity,,472.0,0.0,269.0,-324.0,-71.0,1088.0,697.0,-960.0,26.0
Net Cash Flow,,58.0,0.0,816.0,-1031.0,1147.0,-270.0,-14.0,840.0,-193.0
Free Cash Flow,,-414.0,0.0,547.0,-707.0,1218.0,-1358.0,-711.0,1800.0,-219.0
CFO/OP,,-21.0,0.0,25.0,-30.0,56.0,-32.0,-8.0,60.0,8.0
Profit from operations,Cash from Operating Activity,1046.0,0.0,1025.0,1231.0,1560.0,1627.0,1478.0,1831.0,1947.0
Loans Advances,Cash from Operating Activity,-1796.0,0.0,-1228.0,-3354.0,-2422.0,-3798.0,-2444.0,-4250.0,-9139.0
Operating investments,Cash from Operating Activity,1141.0,0.0,-361.0,-2236.0,-1332.0,-914.0,-1107.0,225.0,-592.0
Operating Deposits,Cash from Operating Activity,238.0,0.0,1689.0,4145.0,3963.0,2833.0,1749.0,4174.0,8023.0
Other WC items,Cash from Operating Activity,-1017.0,0.0,-558.0,-457.0,-443.0,-656.0,29.0,290.0,105.0
Working capital changes,Cash from Operating Activity,-1434.0,0.0,-458.0,-1901.0,-235.0,-2534.0,-1773.0,439.0,-1602.0
Direct taxes,Cash from Operating Activity,0.0,0.0,0.0,0.0,0.0,-362.0,-315.0,-372.0,-446.0
Fixed assets purchased,Cash from Investing Activity,-26.0,0.0,-20.0,-38.0,-107.0,-90.0,-101.0,-105.0,-128.0
Fixed assets sold,Cash from Investing Activity,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,10.0
Proceeds from shares,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,785.0,0.0,0.0,0.0
Proceeds from borrowings,Cash from Financing Activity,513.0,0.0,324.0,0.0,0.0,525.0,776.0,0.0,200.0
Repayment of borrowings,Cash from Financing Activity,0.0,0.0,0.0,-324.0,0.0,0.0,0.0,-801.0,0.0
Dividends paid,Cash from Financing Activity,-41.0,0.0,0.0,0.0,-71.0,-222.0,-79.0,-158.0,-174.0
Other financing items,Cash from Financing Activity,0.0,0.0,-55.0,0.0,0.0,0.0,0.0,0.0,0.0
