,parent_line_item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,11.0,111.0,-79.0,-152.0,-229.0,50.0,395.0
Cash from Investing Activity,,112.0,-260.0,-443.0,-441.0,-22.0,-486.0,-1339.0
Cash from Financing Activity,,1431.0,823.0,1644.0,2.0,-220.0,-201.0,1972.0
Net Cash Flow,,1554.0,674.0,1122.0,-591.0,-471.0,-637.0,1029.0
Free Cash Flow,,-156.0,-54.0,-407.0,-517.0,-486.0,-99.0,161.0
CFO/OP,,86.0,114.0,-25.0,-1258.0,872.0,5.0,112.0
Profit from operations,Cash from Operating Activity,138.0,110.0,147.0,252.0,176.0,342.0,546.0
Receivables,Cash from Operating Activity,-2.0,-156.0,51.0,-269.0,-80.0,-223.0,-230.0
Inventory,Cash from Operating Activity,1.0,-2.0,-8.0,-23.0,14.0,12.0,45.0
Payables,Cash from Operating Activity,-156.0,111.0,60.0,130.0,26.0,157.0,-170.0
Loans Advances,Cash from Operating Activity,0.0,0.0,0.0,-0.0,0.0,-0.0,1.0
Other WC items,Cash from Operating Activity,100.0,64.0,-265.0,-157.0,-354.0,-277.0,209.0
Working capital changes,Cash from Operating Activity,-57.0,17.0,-162.0,-319.0,-393.0,-331.0,-146.0
Direct taxes,Cash from Operating Activity,-65.0,-14.0,-50.0,-85.0,-12.0,38.0,-5.0
Exceptional CF items,Cash from Operating Activity,-5.0,-2.0,-14.0,0.0,0.0,0.0,0.0
Fixed assets purchased,Cash from Investing Activity,-167.0,-166.0,-331.0,-367.0,-266.0,-150.0,-238.0
Fixed assets sold,Cash from Investing Activity,1.0,1.0,3.0,2.0,9.0,2.0,4.0
Investments purchased,Cash from Investing Activity,0.0,0.0,0.0,-240.0,0.0,-3.0,-1.0
Interest received,Cash from Investing Activity,2.0,8.0,16.0,33.0,39.0,20.0,36.0
Redemp n Canc of Shares,Cash from Investing Activity,298.0,0.0,0.0,0.0,0.0,0.0,0.0
Acquisition of companies,Cash from Investing Activity,0.0,-12.0,0.0,-347.0,0.0,0.0,-14.0
Other investing items,Cash from Investing Activity,-22.0,-91.0,-132.0,477.0,196.0,-354.0,-1126.0
