,parent_line_item,Mar 2022,Mar 2023,Mar 2025,Mar 2026
Cash from Operating Activity,,16.0,15.0,84.0,254.0
Cash from Investing Activity,,-18.0,-33.0,-64.0,-202.0
Cash from Financing Activity,,-5.0,48.0,-22.0,-59.0
Net Cash Flow,,-7.0,29.0,-2.0,-7.0
Free Cash Flow,,-2.0,-15.0,45.0,221.0
CFO/OP,,112.0,50.0,84.0,94.0
Profit from operations,Cash from Operating Activity,19.0,46.0,149.0,358.0
Receivables,Cash from Operating Activity,-6.0,-13.0,-52.0,9.0
Inventory,Cash from Operating Activity,3.0,2.0,-4.0,-9.0
Payables,Cash from Operating Activity,1.0,1.0,7.0,7.0
Loans Advances,Cash from Operating Activity,0.0,-11.0,0.0,0.0
Other WC items,Cash from Operating Activity,3.0,-3.0,18.0,-39.0
Working capital changes,Cash from Operating Activity,2.0,-24.0,-31.0,-31.0
Direct taxes,Cash from Operating Activity,-4.0,-8.0,-33.0,-74.0
Fixed assets purchased,Cash from Investing Activity,-22.0,-37.0,-42.0,-34.0
Fixed assets sold,Cash from Investing Activity,4.0,8.0,3.0,1.0
Investments purchased,Cash from Investing Activity,0.0,-5.0,-14.0,-124.0
Investments sold,Cash from Investing Activity,0.0,0.0,16.0,22.0
Interest received,Cash from Investing Activity,0.0,1.0,3.0,2.0
Other investing items,Cash from Investing Activity,-0.0,-0.0,-30.0,-69.0
