,parent_line_item,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,812.0,882.0,833.0,1273.0
Cash from Investing Activity,,-317.0,-200.0,-252.0,-446.0
Cash from Financing Activity,,-434.0,-404.0,-910.0,-787.0
Net Cash Flow,,61.0,277.0,-329.0,40.0
Free Cash Flow,,744.0,650.0,786.0,1227.0
CFO/OP,,97.0,91.0,80.0,109.0
Profit from operations,Cash from Operating Activity,1330.0,1440.0,1660.0,1769.0
Receivables,Cash from Operating Activity,-600.0,-241.0,-376.0,-171.0
Inventory,Cash from Operating Activity,-2.0,-1.0,-0.0,-2.0
Payables,Cash from Operating Activity,161.0,146.0,36.0,-267.0
Other WC items,Cash from Operating Activity,351.0,-13.0,-72.0,493.0
Working capital changes,Cash from Operating Activity,-89.0,-110.0,-412.0,52.0
Direct taxes,Cash from Operating Activity,-429.0,-448.0,-415.0,-548.0
Interest paid fin,Cash from Financing Activity,-6.0,-6.0,-6.0,-8.0
Dividends paid,Cash from Financing Activity,-400.0,-360.0,-880.0,-760.0
Financial liabilities,Cash from Financing Activity,-28.0,-38.0,-24.0,-19.0
