,parent_line_item,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,5165.0,-7261.0,7075.0,-2353.0,3907.0,
Cash from Investing Activity,,-1741.0,-386.0,-1986.0,4434.0,-5465.0,
Cash from Financing Activity,,-989.0,3524.0,-2148.0,157.0,-561.0,
Net Cash Flow,,2436.0,-4123.0,2942.0,2238.0,-2119.0,
Free Cash Flow,,5128.0,-7370.0,6901.0,-2509.0,3768.0,
CFO/OP,,158.0,-153.0,142.0,-34.0,68.0,
Profit from operations,Cash from Operating Activity,,2028.0,2518.0,2333.0,2720.0,2590.0
Loans Advances,Cash from Operating Activity,,-3100.0,-10434.0,-8662.0,-8195.0,-13961.0
Operating investments,Cash from Operating Activity,,67.0,-3529.0,2282.0,-2520.0,-349.0
Operating Deposits,Cash from Operating Activity,,6431.0,2508.0,10269.0,5603.0,15819.0
Other WC items,Cash from Operating Activity,,-222.0,1895.0,1403.0,381.0,281.0
Working capital changes,Cash from Operating Activity,,3177.0,-9560.0,5292.0,-4731.0,1790.0
Direct taxes,Cash from Operating Activity,,-40.0,-219.0,-550.0,-342.0,-473.0
Fixed assets purchased,Cash from Investing Activity,,-102.0,-113.0,-182.0,-158.0,-141.0
Fixed assets sold,Cash from Investing Activity,,65.0,4.0,8.0,2.0,2.0
Investments purchased,Cash from Investing Activity,,-1704.0,-277.0,-1811.0,0.0,-5326.0
Investments sold,Cash from Investing Activity,,0.0,0.0,0.0,4590.0,0.0
Proceeds from shares,Cash from Financing Activity,,0.0,0.0,1151.0,0.0,3.0
Redemption of debentures,Cash from Financing Activity,,0.0,0.0,0.0,-750.0,-790.0
Proceeds from borrowings,Cash from Financing Activity,,0.0,3699.0,0.0,1138.0,417.0
Repayment of borrowings,Cash from Financing Activity,,-814.0,0.0,-3082.0,0.0,0.0
Interest paid fin,Cash from Financing Activity,,-175.0,-175.0,-145.0,-154.0,-85.0
Dividends paid,Cash from Financing Activity,,0.0,0.0,-63.0,-78.0,-105.0
Other financing items,Cash from Financing Activity,,0.0,0.0,-9.0,0.0,0.0
