,parent_line_item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,3782.0,3903.0,3176.0,6972.0,-1614.0,2091.0,12728.0,21218.0,24151.0,23470.0
Cash from Investing Activity,,-3033.0,-4151.0,-2526.0,-4574.0,3179.0,1504.0,-4043.0,-11812.0,-12758.0,-1943.0
Cash from Financing Activity,,-1401.0,766.0,-592.0,-2407.0,-1775.0,-3088.0,-8432.0,-9979.0,-11015.0,-21276.0
Net Cash Flow,,-652.0,518.0,58.0,-9.0,-210.0,506.0,253.0,-573.0,378.0,251.0
Free Cash Flow,,4158.0,2683.0,1469.0,5910.0,-2035.0,1750.0,12163.0,20120.0,22558.0,21767.0
CFO/OP,,190.0,153.0,-2197.0,178.0,-10784.0,398.0,201.0,133.0,136.0,197.0
Profit from operations,Cash from Operating Activity,2093.0,3131.0,378.0,5677.0,-445.0,1527.0,9985.0,17379.0,20066.0,21679.0
Receivables,Cash from Operating Activity,-2.0,-67.0,-141.0,101.0,39.0,-120.0,-205.0,-120.0,-106.0,124.0
Inventory,Cash from Operating Activity,-87.0,-20.0,-28.0,-75.0,-30.0,-92.0,-183.0,-34.0,-196.0,-164.0
Payables,Cash from Operating Activity,1734.0,1955.0,1412.0,2119.0,-346.0,1439.0,4029.0,7038.0,9024.0,5541.0
Other WC items,Cash from Operating Activity,469.0,-358.0,1651.0,-535.0,-755.0,-467.0,-509.0,-2534.0,-4205.0,-3453.0
Working capital changes,Cash from Operating Activity,2114.0,1510.0,2894.0,1610.0,-1093.0,762.0,3133.0,4350.0,4518.0,2047.0
Direct taxes,Cash from Operating Activity,-424.0,-738.0,-96.0,-315.0,-76.0,-198.0,-389.0,-511.0,-432.0,-257.0
Fixed assets purchased,Cash from Investing Activity,-237.0,-1220.0,-1712.0,-1088.0,-437.0,-347.0,-570.0,-1103.0,-1605.0,-1710.0
Fixed assets sold,Cash from Investing Activity,613.0,0.0,5.0,27.0,16.0,7.0,4.0,5.0,12.0,7.0
Investments purchased,Cash from Investing Activity,-12673.0,-15772.0,-15008.0,-23056.0,-12882.0,-20269.0,-29277.0,-23794.0,-22680.0,-44034.0
Investments sold,Cash from Investing Activity,10123.0,13519.0,15220.0,20726.0,15479.0,19736.0,26286.0,19824.0,14658.0,44046.0
Interest received,Cash from Investing Activity,346.0,531.0,501.0,369.0,137.0,92.0,157.0,576.0,1132.0,1353.0
Other investing items,Cash from Investing Activity,-1205.0,-1209.0,-1532.0,-1551.0,867.0,2285.0,-643.0,-7321.0,-4276.0,-1605.0
Proceeds from shares,Cash from Financing Activity,1.0,2508.0,0.0,24.0,9.0,28.0,22.0,42.0,42.0,4.0
Proceeds from borrowings,Cash from Financing Activity,0.0,0.0,48.0,42.0,4844.0,15236.0,0.0,0.0,0.0,6.0
Repayment of borrowings,Cash from Financing Activity,0.0,0.0,-256.0,0.0,-3010.0,-13865.0,-1673.0,-282.0,-92.0,0.0
Interest paid fin,Cash from Financing Activity,-17.0,-21.0,-29.0,-34.0,-29.0,-1998.0,-2668.0,-3496.0,-4064.0,-4737.0
Dividends paid,Cash from Financing Activity,-542.0,-1230.0,-231.0,-192.0,0.0,0.0,0.0,0.0,0.0,-386.0
Financial liabilities,Cash from Financing Activity,-48.0,-53.0,-77.0,-2208.0,-3590.0,-2489.0,-4114.0,-6242.0,-6901.0,-16180.0
Other financing items,Cash from Financing Activity,-795.0,-438.0,-47.0,-40.0,0.0,0.0,0.0,0.0,0.0,18.0
