,parent_line_item,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity,,11.0,501.0,224.0,791.0,365.0,761.0
Cash from Investing Activity,,-28.0,-101.0,-194.0,-208.0,-60.0,-200.0
Cash from Financing Activity,,25.0,-144.0,-287.0,-452.0,-457.0,-509.0
Net Cash Flow,,8.0,256.0,-257.0,131.0,-153.0,52.0
Free Cash Flow,,-17.0,400.0,26.0,680.0,194.0,561.0
CFO/OP,,23.0,95.0,51.0,100.0,56.0,92.0
Profit from operations,Cash from Operating Activity,571.0,758.0,794.0,1010.0,993.0,1061.0
Receivables,Cash from Operating Activity,-593.0,16.0,-142.0,-96.0,-348.0,-664.0
Inventory,Cash from Operating Activity,-73.0,-161.0,-250.0,70.0,-142.0,-448.0
Payables,Cash from Operating Activity,273.0,158.0,11.0,1.0,258.0,805.0
Other WC items,Cash from Operating Activity,-51.0,-8.0,-12.0,23.0,-202.0,218.0
Working capital changes,Cash from Operating Activity,-445.0,4.0,-392.0,-2.0,-434.0,-89.0
Direct taxes,Cash from Operating Activity,-114.0,-196.0,-178.0,-217.0,-194.0,-211.0
Other operating items,Cash from Operating Activity,0.0,-65.0,0.0,0.0,0.0,0.0
Proceeds from shares,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,0.0
Proceeds from borrowings,Cash from Financing Activity,68.0,0.0,74.0,0.0,0.0,0.0
Repayment of borrowings,Cash from Financing Activity,-31.0,-68.0,-9.0,-74.0,0.0,0.0
Interest paid fin,Cash from Financing Activity,-4.0,-31.0,-27.0,-27.0,-24.0,-25.0
Dividends paid,Cash from Financing Activity,0.0,0.0,-268.0,-287.0,-353.0,0.0
Financial liabilities,Cash from Financing Activity,-7.0,-45.0,-57.0,-65.0,-81.0,-109.0
Other financing items,Cash from Financing Activity,0.0,0.0,0.0,0.0,0.0,-375.0
