calendar_year,year_end_date,dxy_close,dxy_yoy_pct
2000,2000-12-29,109.56,
2001,2001-12-31,116.75,6.56
2002,2002-12-31,101.85,-12.76
2003,2003-12-31,86.92,-14.66
2004,2004-12-31,80.85,-6.98
2005,2005-12-30,91.17,12.76
2006,2006-12-29,83.72,-8.17
2007,2007-12-31,76.7,-8.39
2008,2008-12-31,81.31,6.01
2009,2009-12-31,77.86,-4.24
2010,2010-12-31,79.03,1.5
2011,2011-12-30,80.17,1.44
2012,2012-12-31,79.77,-0.5
2013,2013-12-31,80.04,0.34
2014,2014-12-31,90.27,12.78
2015,2015-12-31,98.63,9.26
2016,2016-12-30,102.39,3.81
2017,2017-12-29,92.12,-10.03
2018,2018-12-31,96.17,4.4
2019,2019-12-31,96.39,0.23
2020,2020-12-31,89.94,-6.69
2021,2021-12-31,95.67,6.37
2022,2022-12-30,103.52,8.21
2023,2023-12-29,101.33,-2.12
2024,2024-12-31,108.49,7.07
2025,2025-12-31,98.28,-9.41
