calendar_year,year_end_date,year_end_close,source
2000,2000-12-29,483.53,Yahoo Finance (^RUT daily)
2001,2001-12-31,488.50,Yahoo Finance (^RUT daily)
2002,2002-12-31,383.09,Yahoo Finance (^RUT daily)
2003,2003-12-31,556.91,Yahoo Finance (^RUT daily)
2004,2004-12-31,651.57,Yahoo Finance (^RUT daily)
2005,2005-12-30,673.22,Yahoo Finance (^RUT daily)
2006,2006-12-29,787.66,Yahoo Finance (^RUT daily)
2007,2007-12-31,766.03,Yahoo Finance (^RUT daily)
2008,2008-12-31,499.45,Yahoo Finance (^RUT daily)
2009,2009-12-31,625.39,Yahoo Finance (^RUT daily)
2010,2010-12-31,783.65,Yahoo Finance (^RUT daily)
2011,2011-12-30,740.92,Yahoo Finance (^RUT daily)
2012,2012-12-31,849.35,Yahoo Finance (^RUT daily)
2013,2013-12-31,1163.64,Yahoo Finance (^RUT daily)
2014,2014-12-31,1204.70,Yahoo Finance (^RUT daily)
2015,2015-12-31,1135.89,Yahoo Finance (^RUT daily)
2016,2016-12-30,1357.13,Yahoo Finance (^RUT daily)
2017,2017-12-29,1535.51,Yahoo Finance (^RUT daily)
2018,2018-12-31,1348.56,Yahoo Finance (^RUT daily)
2019,2019-12-31,1668.47,Yahoo Finance (^RUT daily)
2020,2020-12-31,1974.86,Yahoo Finance (^RUT daily)
2021,2021-12-31,2245.31,Yahoo Finance (^RUT daily)
2022,2022-12-30,1761.25,Yahoo Finance (^RUT daily)
2023,2023-12-29,2027.07,Yahoo Finance (^RUT daily)
2024,2024-12-31,2230.16,Yahoo Finance (^RUT daily)
2025,2025-12-31,2481.91,Yahoo Finance (^RUT daily)
