symbol,week_start,open,high,low,close,volume,days,complete
AADHARHFC,2025-06-02,445.0,456.0,436.8,449.45,1520075,5,True
AADHARHFC,2025-06-09,455.2,460.9,433.0,437.8,2072957,5,True
AADHARHFC,2025-06-16,435.0,447.2,432.0,437.5,1732838,5,True
AADHARHFC,2025-06-23,435.0,451.15,411.3,444.2,1717673,5,True
AADHARHFC,2025-06-30,449.85,469.7,446.1,460.25,2746951,5,True
AADHARHFC,2025-07-07,460.0,462.5,447.0,451.7,3951375,5,True
AADHARHFC,2025-07-14,455.75,509.4,448.5,504.7,9381783,5,True
AADHARHFC,2025-07-21,520.0,531.35,494.95,496.4,6789231,5,True
AADHARHFC,2025-07-28,525.0,537.5,496.85,499.5,9206182,5,True
AADHARHFC,2025-08-04,497.9,509.15,491.0,503.8,2068025,5,True
AADHARHFC,2025-08-11,504.25,515.55,493.3,501.1,1682887,4,True
AADHARHFC,2025-08-18,504.95,523.95,497.05,521.85,2624088,5,True
AADHARHFC,2025-08-25,524.75,530.0,495.1,502.95,2250805,4,True
AADHARHFC,2025-09-01,500.0,520.45,495.05,513.55,2196457,5,True
AADHARHFC,2025-09-08,510.6,522.4,497.15,506.65,1726464,5,True
AADHARHFC,2025-09-15,507.0,546.05,504.65,539.15,5493479,5,True
AADHARHFC,2025-09-22,539.15,547.8,509.3,511.85,2813038,5,True
AADHARHFC,2025-09-29,515.0,526.0,503.45,509.95,1601369,4,True
AADHARHFC,2025-10-06,509.9,527.5,506.0,515.5,1691657,5,True
AADHARHFC,2025-10-13,514.5,519.0,501.0,503.7,1565268,5,True
AADHARHFC,2025-10-20,506.0,542.0,502.25,522.6,1585983,4,True
AADHARHFC,2025-10-27,525.0,525.9,509.0,509.85,882828,5,True
AADHARHFC,2025-11-03,511.15,519.95,481.1,494.55,1348817,4,True
AADHARHFC,2025-11-10,499.1,506.4,485.2,494.9,1899417,5,True
AADHARHFC,2025-11-17,492.9,499.05,480.0,483.6,1162635,5,True
AADHARHFC,2025-11-24,484.6,496.2,479.5,481.15,1590485,5,True
AADHARHFC,2025-12-01,483.0,488.0,480.2,481.4,1517760,5,True
AADHARHFC,2025-12-08,479.3,489.85,479.3,488.9,785433,5,True
AADHARHFC,2025-12-15,489.8,500.0,474.05,488.0,1154361,5,True
AADHARHFC,2025-12-22,492.1,492.1,480.5,484.0,1258226,4,True
AADHARHFC,2025-12-29,484.0,508.0,472.75,500.55,2124437,5,True
AADHARHFC,2026-01-05,504.95,509.25,475.2,475.95,1023003,5,True
AADHARHFC,2026-01-12,477.05,485.0,471.0,473.1,741311,5,True
AADHARHFC,2026-01-19,471.0,476.25,466.1,468.4,1664705,5,True
AADHARHFC,2026-01-26,472.95,492.95,468.4,491.3,1784901,4,True
AADHARHFC,2026-02-02,479.9,495.0,471.1,474.7,2235853,5,True
AADHARHFC,2026-02-09,474.85,479.95,464.4,466.65,1494347,5,True
AADHARHFC,2026-02-16,466.2,482.2,452.6,479.35,1506100,5,True
AADHARHFC,2026-02-23,479.4,484.95,434.2,458.95,4666866,5,True
AADHARHFC,2026-03-02,431.0,465.95,430.15,455.05,2004191,4,True
AADHARHFC,2026-03-09,441.6,500.55,441.6,459.75,3021312,5,True
AADHARHFC,2026-03-16,457.95,482.45,447.25,449.85,1977562,5,True
AADHARHFC,2026-03-23,447.65,476.5,435.5,456.35,1041011,4,True
AADHARHFC,2026-03-30,442.6,455.95,438.8,448.85,419745,1,False
AARTIDRUGS,2025-06-02,446.4,484.95,444.0,462.15,1600433,5,True
AARTIDRUGS,2025-06-09,465.5,494.0,457.8,463.75,1336313,5,True
AARTIDRUGS,2025-06-16,460.05,468.05,431.0,440.65,802874,5,True
AARTIDRUGS,2025-06-23,441.6,467.3,432.0,453.2,1231034,5,True
AARTIDRUGS,2025-06-30,453.2,498.0,453.15,487.45,3030723,5,True
AARTIDRUGS,2025-07-07,493.0,498.7,468.05,473.6,1111830,5,True
AARTIDRUGS,2025-07-14,475.9,546.4,471.05,523.2,9688009,5,True
AARTIDRUGS,2025-07-21,525.0,564.05,512.0,537.75,4292370,5,True
AARTIDRUGS,2025-07-28,534.8,549.3,486.0,489.45,1504487,5,True
AARTIDRUGS,2025-08-04,491.9,510.0,475.0,491.75,900233,5,True
AARTIDRUGS,2025-08-11,485.65,496.8,482.0,486.65,311928,4,True
AARTIDRUGS,2025-08-18,489.8,510.0,466.25,483.05,1010861,5,True
AARTIDRUGS,2025-08-25,489.0,490.0,461.75,469.55,462207,4,True
AARTIDRUGS,2025-09-01,469.65,497.0,465.05,471.15,871968,5,True
AARTIDRUGS,2025-09-08,472.75,527.7,465.0,509.65,1475011,5,True
AARTIDRUGS,2025-09-15,508.7,534.55,503.15,525.35,1015586,5,True
AARTIDRUGS,2025-09-22,525.35,529.5,466.4,469.95,1121296,5,True
AARTIDRUGS,2025-09-29,478.0,494.0,470.4,491.6,380253,4,True
AARTIDRUGS,2025-10-06,491.6,521.1,486.05,515.2,708654,5,True
AARTIDRUGS,2025-10-13,513.1,530.15,499.0,517.65,716749,5,True
AARTIDRUGS,2025-10-20,520.0,520.0,491.8,493.95,288670,4,True
AARTIDRUGS,2025-10-27,493.95,512.0,478.0,491.1,981220,5,True
AARTIDRUGS,2025-11-03,491.1,509.0,479.5,491.45,713746,4,True
