rank,symbol,trailing_month
1,RELIANCE,2020-05
2,HINDUNILVR,2020-05
3,BAJFINANCE,2020-05
4,HDFCBANK,2020-05
5,ICICIBANK,2020-05
6,AXISBANK,2020-05
7,BHARTIARTL,2020-05
8,HDFC,2020-05
9,MARUTI,2020-05
10,SBIN,2020-05
11,INDUSINDBK,2020-05
12,KOTAKBANK,2020-05
13,TCS,2020-05
14,INFY,2020-05
15,CIPLA,2020-05
16,ASIANPAINT,2020-05
17,ITC,2020-05
18,TATAMOTORS,2020-05
19,DRREDDY,2020-05
20,SUNPHARMA,2020-05
21,HEROMOTOCO,2020-05
22,LT,2020-05
23,BAJAJFINSV,2020-05
24,AUROPHARMA,2020-05
25,RBLBANK,2020-05
26,EICHERMOT,2020-05
27,ZEEL,2020-05
28,MCDOWELL-N,2020-05
29,SRTRANSFIN,2020-05
30,BIOCON,2020-05
31,UPL,2020-05
32,VEDL,2020-05
33,INDIGO,2020-05
34,TATASTEEL,2020-05
35,NESTLEIND,2020-05
36,JUBLFOOD,2020-05
37,M&M,2020-05
38,TITAN,2020-05
39,HCLTECH,2020-05
40,BANDHANBNK,2020-05
41,BPCL,2020-05
42,ESCORTS,2020-05
43,TORNTPHARM,2020-05
44,LUPIN,2020-05
45,ULTRACEMCO,2020-05
46,IDEA,2020-05
47,BAJAJ-AUTO,2020-05
48,IBULHSGFIN,2020-05
49,TATACONSUM,2020-05
50,BRITANNIA,2020-05
51,INFRATEL,2020-05
52,HDFCLIFE,2020-05
53,PVR,2020-05
54,TECHM,2020-05
55,JINDALSTEL,2020-05
56,HINDALCO,2020-05
57,BHEL,2020-05
58,M&MFIN,2020-05
59,PEL,2020-05
60,CHOLAFIN,2020-05
61,JSWSTEEL,2020-05
62,POWERGRID,2020-05
63,MOTHERSUMI,2020-05
64,COLPAL,2020-05
65,IGL,2020-05
66,ASHOKLEY,2020-05
67,ADANIPORTS,2020-05
68,DABUR,2020-05
69,ACC,2020-05
70,ONGC,2020-05
71,CADILAHC,2020-05
72,LICHSGFIN,2020-05
73,IRCTC,2020-05
74,VOLTAS,2020-05
75,HAVELLS,2020-05
76,WIPRO,2020-05
77,GLENMARK,2020-05
78,BATAINDIA,2020-05
79,GRASIM,2020-05
80,MUTHOOTFIN,2020-05
81,MANAPPURAM,2020-05
82,TATAPOWER,2020-05
83,SBILIFE,2020-05
84,FEDERALBNK,2020-05
85,MARICO,2020-05
86,NIITTECH,2020-05
87,NTPC,2020-05
88,BANKBARODA,2020-05
89,DIVISLAB,2020-05
90,GODREJCP,2020-05
91,HINDPETRO,2020-05
92,APOLLOHOSP,2020-05
93,SHREECEM,2020-05
95,TVSMOTOR,2020-05
96,COALINDIA,2020-05
97,JUSTDIAL,2020-05
98,GAIL,2020-05
99,PIDILITIND,2020-05
100,IOC,2020-05
101,NAUKRI,2020-05
102,ICICIPRULI,2020-05
103,BEL,2020-05
105,BHARATFORG,2020-05
106,AMARAJABAT,2020-05
107,DLF,2020-05
108,LAURUSLABS,2020-05
109,SUNTV,2020-05
110,L&TFH,2020-05
111,UJJIVAN,2020-05
112,AMBUJACEM,2020-05
113,UBL,2020-05
114,RECLTD,2020-05
115,APOLLOTYRE,2020-05
116,CANBK,2020-05
117,MINDTREE,2020-05
118,ICICIGI,2020-05
119,IDFCFIRSTB,2020-05
120,EQUITAS,2020-05
121,BERGEPAINT,2020-05
122,INDIACEM,2020-05
123,PAGEIND,2020-05
124,BALKRISIND,2020-05
125,IOLCP,2020-05
126,ADANIPOWER,2020-05
127,SIEMENS,2020-05
128,CUMMINSIND,2020-05
129,SRF,2020-05
130,MFSL,2020-05
131,DEEPAKNTR,2020-05
132,PFC,2020-05
133,PNB,2020-05
134,YESBANK,2020-05
135,DMART,2020-05
136,HDFCAMC,2020-05
137,CONCOR,2020-05
138,SAIL,2020-05
139,TATACHEM,2020-05
140,IPCALAB,2020-05
141,PETRONET,2020-05
142,MGL,2020-05
143,TORNTPOWER,2020-05
144,RAMCOCEM,2020-05
145,AARTIIND,2020-05
146,ADANIENT,2020-05
147,NCC,2020-05
148,STAR,2020-05
149,BIRLACORPN,2020-05
150,MRF,2020-05
151,CESC,2020-05
152,GODREJPROP,2020-05
153,BOSCHLTD,2020-05
154,BEML,2020-05
155,CENTURYTEX,2020-05
156,EXIDEIND,2020-05
157,APLLTD,2020-05
158,RADICO,2020-05
159,AJANTPHARM,2020-05
160,ALKEM,2020-05
161,NMDC,2020-05
162,AUBANK,2020-05
163,PFIZER,2020-05
164,SANOFI,2020-05
165,MCX,2020-05
166,ADANIGAS,2020-05
167,GRANULES,2020-05
169,NAM-INDIA,2020-05
170,COROMANDEL,2020-05
171,ABFRL,2020-05
172,MPHASIS,2020-05
173,NATIONALUM,2020-05
174,PIIND,2020-05
175,ABBOTINDIA,2020-05
176,TATAELXSI,2020-05
177,LTI,2020-05
178,DCBBANK,2020-05
179,ASTRAZEN,2020-05
181,JBCHEPHARM,2020-05
182,AVANTIFEED,2020-05
183,NATCOPHARM,2020-05
184,DALBHARAT,2020-05
185,ISEC,2020-05
186,NAVINFLUOR,2020-05
187,HINDZINC,2020-05
188,CYIENT,2020-05
189,DIXON,2020-05
190,INDIAMART,2020-05
191,CROMPTON,2020-05
192,INOXLEISUR,2020-05
193,AARTIDRUGS,2020-05
194,MIDHANI,2020-05
195,GODREJIND,2020-05
196,NOCIL,2020-05
197,GMMPFAUDLR,2020-05
