fiscal_year,industry,no_of_issues,amount_cr,coverage,source
2007-08,Engineering,5,378,all-instruments,"SEBI Handbook 2010, Table 6"
2007-08,Entertainment,2,403,all-instruments,"SEBI Handbook 2010, Table 6"
2007-08,Finance,7,1773,all-instruments,"SEBI Handbook 2010, Table 6"
2007-08,Food Processing,2,100,all-instruments,"SEBI Handbook 2010, Table 6"
2007-08,Healthcare,3,542,all-instruments,"SEBI Handbook 2010, Table 6"
2007-08,Information Technology,10,691,all-instruments,"SEBI Handbook 2010, Table 6"
2007-08,Others,31,16541,all-instruments,"SEBI Handbook 2010, Table 6"
2007-08,Paper & Pulp,1,35,all-instruments,"SEBI Handbook 2010, Table 6"
2007-08,Plastic,5,211,all-instruments,"SEBI Handbook 2010, Table 6"
2007-08,Power,4,13709,all-instruments,"SEBI Handbook 2010, Table 6"
2007-08,Telecommunication,2,1000,all-instruments,"SEBI Handbook 2010, Table 6"
2007-08,Textile,7,442,all-instruments,"SEBI Handbook 2010, Table 6"
2008-09,Cement & Construction,3,80,all-instruments,"SEBI Handbook 2010, Table 6"
2008-09,Chemical,4,218,all-instruments,"SEBI Handbook 2010, Table 6"
2008-09,Entertainment,2,1156,all-instruments,"SEBI Handbook 2010, Table 6"
2008-09,Finance,3,1966,all-instruments,"SEBI Handbook 2010, Table 6"
2008-09,Healthcare,3,144,all-instruments,"SEBI Handbook 2010, Table 6"
2008-09,Information Technology,1,42,all-instruments,"SEBI Handbook 2010, Table 6"
2008-09,Others,22,10845,all-instruments,"SEBI Handbook 2010, Table 6"
2008-09,Power,2,958,all-instruments,"SEBI Handbook 2010, Table 6"
2008-09,Telecommunication,2,100,all-instruments,"SEBI Handbook 2010, Table 6"
2008-09,Textile,5,710,all-instruments,"SEBI Handbook 2010, Table 6"
2009-10,Banking/FIs,6,3138,all-instruments,"SEBI Handbook 2010, Table 6"
2009-10,Cement & Construction,8,2780,all-instruments,"SEBI Handbook 2010, Table 6"
2009-10,Chemical,1,36,all-instruments,"SEBI Handbook 2010, Table 6"
2009-10,Electronics,1,1156,all-instruments,"SEBI Handbook 2010, Table 6"
2009-10,Engineering,1,50,all-instruments,"SEBI Handbook 2010, Table 6"
2009-10,Entertainment,9,2461,all-instruments,"SEBI Handbook 2010, Table 6"
2009-10,Finance,2,1826,all-instruments,"SEBI Handbook 2010, Table 6"
2009-10,Food Processing,2,443,all-instruments,"SEBI Handbook 2010, Table 6"
2009-10,Healthcare,3,1059,all-instruments,"SEBI Handbook 2010, Table 6"
2009-10,Information Technology,6,540,all-instruments,"SEBI Handbook 2010, Table 6"
2009-10,Others,26,18461,all-instruments,"SEBI Handbook 2010, Table 6"
2009-10,Paper & Pulp,1,35,all-instruments,"SEBI Handbook 2010, Table 6"
2009-10,Plastic,1,39,all-instruments,"SEBI Handbook 2010, Table 6"
2009-10,Power,6,25293,all-instruments,"SEBI Handbook 2010, Table 6"
2009-10,Textile,3,237,all-instruments,"SEBI Handbook 2010, Table 6"
2010-11,Banking/FIs,18,17248.15,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2010-11,Cement & Construction,3,2840.75,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2010-11,Chemical,5,246.77,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2010-11,Engineering,5,1393.73,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2010-11,Entertainment,4,715.16,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2010-11,Finance,3,2209.56,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2010-11,Food Processing,1,1245.38,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2010-11,Healthcare,3,292.49,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2010-11,Information  Technology,1,170.0,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2010-11,Others,40,31519.26,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2010-11,Power,4,9468.6,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2010-11,Printing,1,51.5,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2010-11,Textile,3,207.17,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2011-12,Banking/FIs,20,35610.71,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2011-12,Cement & Construction,2,187.0,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2011-12,Electronics,1,120.65,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2011-12,Engineering,1,217.41,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2011-12,Entertainment,1,89.28,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2011-12,Finance,10,7708.25,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2011-12,Healthcare,1,65.18,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2011-12,Information  Technology,2,137.6,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2011-12,Others,28,3943.38,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2011-12,Paper & Pulp,2,306.17,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2011-12,Plastic,1,11.36,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2011-12,Printing,2,71.0,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2012-13,Banking/FIs,7,8272.56,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2012-13,Cement & Construction,1,8.56,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2012-13,Chemical,1,9.35,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2012-13,Engineering,2,74.01,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2012-13,Entertainment,1,11.67,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2012-13,Finance,16,10738.88,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2012-13,Food Processing,2,18.77,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2012-13,Healthcare,2,210.24,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2012-13,Information  Technology,1,4.08,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2012-13,Others,31,8351.89,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2012-13,Textile,4,582.03,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2013-14,Banking/FIs,14,29700.0,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2013-14,Cement & Construction,4,731.0,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2013-14,Engineering,5,591.0,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2013-14,Entertainment,2,602.0,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2013-14,Finance,26,6058.0,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2013-14,Information  Technology,1,19.0,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2013-14,Others,26,6184.0,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2013-14,Paper & Pulp,1,28.0,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2013-14,Plastic,3,18.0,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2013-14,Power,4,11702.0,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2013-14,Textile,3,14.0,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2014-15,Banking/FIs,36,10639.0,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2014-15,Cement & Construction,5,618.0,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2014-15,Chemical,2,360.0,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2014-15,Consumer Services,2,1589.0,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2014-15,Electrical Equipment/ Production,3,2481.0,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2014-15,Electronics,1,32.71,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2014-15,Entertainment,6,884.0,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2014-15,Food Processing,2,24.81,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2014-15,Healthcare,1,25.0,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2014-15,Hotels,1,1000.0,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2014-15,Information  Technology,3,136.66,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2014-15,Others,18,110.0,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2014-15,Roads & Highways,2,722.0,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2014-15,Telecommunication,1,175.0,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2014-15,Textile,5,407.0,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2015-16,Airlines,1,3009.0,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2015-16,Automobile,4,7914.0,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2015-16,Banking/FIs,23,18985.0,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2015-16,Cement & Construction,4,172.0,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2015-16,Chemical,4,1180.0,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2015-16,Consumer Services,1,424.0,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2015-16,Electrical Equipment/ Production,4,79.0,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2015-16,Engineering,2,373.22,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2015-16,Entertainment,2,20.9,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2015-16,Food Processing,2,700.0,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2015-16,Healthcare,8,4046.0,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2015-16,Hotels,3,1153.0,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
