fiscal_year,industry,no_of_issues,amount_cr,coverage,source
2022-23,Finance,7,3745.01,equity-only,"SEBI Bulletin April 2024, Table 7"
2022-23,Food processing,11,1447.34,equity-only,"SEBI Bulletin April 2024, Table 7"
2022-23,Healthcare,14,4549.17,equity-only,"SEBI Bulletin April 2024, Table 7"
2022-23,Hotels & Resorts,1,9.0,equity-only,"SEBI Bulletin April 2024, Table 7"
2022-23,Info Tech,9,1738.51,equity-only,"SEBI Bulletin April 2024, Table 7"
2022-23,Insurance,1,20557.23,equity-only,"SEBI Bulletin April 2024, Table 7"
2022-23,Misc,121,20253.82,equity-only,"SEBI Bulletin April 2024, Table 7"
2022-23,Oil & Natural Gas,2,4310.2,equity-only,"SEBI Bulletin April 2024, Table 7"
2022-23,Plastic,3,26.36,equity-only,"SEBI Bulletin April 2024, Table 7"
2022-23,Power,1,4.0,equity-only,"SEBI Bulletin April 2024, Table 7"
2022-23,Telecom,1,26.02,equity-only,"SEBI Bulletin April 2024, Table 7"
2022-23,Textile,9,408.1,equity-only,"SEBI Bulletin April 2024, Table 7"
2023-24,Automobiles,4,1499.5,equity-only,"SEBI Bulletin April 2024, Table 7"
2023-24,Banks/Fis,7,3246.35,equity-only,"SEBI Bulletin April 2024, Table 7"
2023-24,Cement/ Constructions,9,5012.62,equity-only,"SEBI Bulletin April 2024, Table 7"
2023-24,Chemical,13,983.66,equity-only,"SEBI Bulletin April 2024, Table 7"
2023-24,Consumer Services,7,4219.19,equity-only,"SEBI Bulletin April 2024, Table 7"
2023-24,Electronic Equipments/ Products,24,6553.9,equity-only,"SEBI Bulletin April 2024, Table 7"
2023-24,Engineering,19,971.4,equity-only,"SEBI Bulletin April 2024, Table 7"
2023-24,Entertainment,6,195.8,equity-only,"SEBI Bulletin April 2024, Table 7"
2023-24,Finance,13,10451.94,equity-only,"SEBI Bulletin April 2024, Table 7"
2023-24,Food processing,9,1085.08,equity-only,"SEBI Bulletin April 2024, Table 7"
2023-24,Healthcare,25,7154.48,equity-only,"SEBI Bulletin April 2024, Table 7"
2023-24,Hotels & Resorts,4,4139.23,equity-only,"SEBI Bulletin April 2024, Table 7"
2023-24,Info Tech,27,5192.9,equity-only,"SEBI Bulletin April 2024, Table 7"
2023-24,Insurance,1,1171.58,equity-only,"SEBI Bulletin April 2024, Table 7"
2023-24,Misc,146,28638.27,equity-only,"SEBI Bulletin April 2024, Table 7"
2023-24,Oil & Natural Gas,2,585.49,equity-only,"SEBI Bulletin April 2024, Table 7"
2023-24,Plastic,3,108.58,equity-only,"SEBI Bulletin April 2024, Table 7"
2023-24,Power,5,170.5,equity-only,"SEBI Bulletin April 2024, Table 7"
2023-24,Roads & Highways,3,210.66,equity-only,"SEBI Bulletin April 2024, Table 7"
2023-24,Telecom,1,49.46,equity-only,"SEBI Bulletin April 2024, Table 7"
2023-24,Textile,12,1451.94,equity-only,"SEBI Bulletin April 2024, Table 7"
2024-25,Aerospace & Defense,4,640.55,equity-only,"SEBI Bulletin October 2025, Table 9"
2024-25,Agricultural Food & other Products,16,3939.43,equity-only,"SEBI Bulletin October 2025, Table 9"
2024-25,"Agricultural, Commercial
& Construction Vehicles",3,1578.15,equity-only,"SEBI Bulletin October 2025, Table 9"
2024-25,Auto Components,12,2377.59,equity-only,"SEBI Bulletin October 2025, Table 9"
2024-25,Automobiles,7,34280.96,equity-only,"SEBI Bulletin October 2025, Table 9"
2024-25,Banks,2,1448.54,equity-only,"SEBI Bulletin October 2025, Table 9"
2024-25,Beverages,2,1521.78,equity-only,"SEBI Bulletin October 2025, Table 9"
2024-25,Capital Markets,5,1189.03,equity-only,"SEBI Bulletin October 2025, Table 9"
2024-25,Cement & Cement Products,1,400.0,equity-only,"SEBI Bulletin October 2025, Table 9"
2024-25,Chemicals & Petrochemicals,18,1045.01,equity-only,"SEBI Bulletin October 2025, Table 9"
2024-25,Commercial Services & Supplies,46,6493.88,equity-only,"SEBI Bulletin October 2025, Table 9"
2024-25,Construction,26,9424.92,equity-only,"SEBI Bulletin October 2025, Table 9"
2024-25,Consumer Durables,24,3127.93,equity-only,"SEBI Bulletin October 2025, Table 9"
2024-25,Diversified FMCG,1,554.75,equity-only,"SEBI Bulletin October 2025, Table 9"
2024-25,Diversified Metals,1,34.24,equity-only,"SEBI Bulletin October 2025, Table 9"
2024-25,Electrical Equipment,13,9988.76,equity-only,"SEBI Bulletin October 2025, Table 9"
2024-25,Entertainment,2,34.2,equity-only,"SEBI Bulletin October 2025, Table 9"
2024-25,Ferrous Metals,2,195.07,equity-only,"SEBI Bulletin October 2025, Table 9"
2024-25,Fertilizers & Agrochemicals,5,3565.51,equity-only,"SEBI Bulletin October 2025, Table 9"
2024-25,Finance,33,15937.81,equity-only,"SEBI Bulletin October 2025, Table 9"
2024-25,Financial Technology (Fintech),1,572.0,equity-only,"SEBI Bulletin October 2025, Table 9"
2024-25,Food Products,17,628.54,equity-only,"SEBI Bulletin October 2025, Table 9"
2024-25,Healthcare Equipment & Supplies,4,810.55,equity-only,"SEBI Bulletin October 2025, Table 9"
2024-25,Healthcare Services,7,5890.19,equity-only,"SEBI Bulletin October 2025, Table 9"
2024-25,Household Products,1,24.54,equity-only,"SEBI Bulletin October 2025, Table 9"
2024-25,IT - Hardware,2,35.18,equity-only,"SEBI Bulletin October 2025, Table 9"
2024-25,IT - Services,9,5011.98,equity-only,"SEBI Bulletin October 2025, Table 9"
2024-25,IT - Software,11,9519.14,equity-only,"SEBI Bulletin October 2025, Table 9"
2024-25,Industrial Manufacturing,16,2190.02,equity-only,"SEBI Bulletin October 2025, Table 9"
2024-25,Industrial Products,50,3729.99,equity-only,"SEBI Bulletin October 2025, Table 9"
2024-25,Insurance,2,4814.65,equity-only,"SEBI Bulletin October 2025, Table 9"
2024-25,Leisure Services,13,4169.63,equity-only,"SEBI Bulletin October 2025, Table 9"
2024-25,Media,5,141.24,equity-only,"SEBI Bulletin October 2025, Table 9"
2024-25,Minerals & Mining,1,113.16,equity-only,"SEBI Bulletin October 2025, Table 9"
2024-25,Oil,1,48.15,equity-only,"SEBI Bulletin October 2025, Table 9"
2024-25,Other Consumer Services,4,153.3,equity-only,"SEBI Bulletin October 2025, Table 9"
2024-25,"Paper, Forest & Jute Products",2,84.93,equity-only,"SEBI Bulletin October 2025, Table 9"
2024-25,Personal Products,1,19.46,equity-only,"SEBI Bulletin October 2025, Table 9"
2024-25,Petroleum Products,2,31.0,equity-only,"SEBI Bulletin October 2025, Table 9"
2024-25,Pharmaceuticals & Biotechnology,12,8118.81,equity-only,"SEBI Bulletin October 2025, Table 9"
2024-25,Power,3,10298.3,equity-only,"SEBI Bulletin October 2025, Table 9"
2024-25,Printing & Publication,1,45.9,equity-only,"SEBI Bulletin October 2025, Table 9"
2024-25,Realty,8,2643.26,equity-only,"SEBI Bulletin October 2025, Table 9"
2024-25,Retailing,6,24373.39,equity-only,"SEBI Bulletin October 2025, Table 9"
2024-25,Telecom - Services,4,22724.99,equity-only,"SEBI Bulletin October 2025, Table 9"
2024-25,Textiles & Apparels,29,1597.2,equity-only,"SEBI Bulletin October 2025, Table 9"
2024-25,Transport Infrastructure,1,28.0,equity-only,"SEBI Bulletin October 2025, Table 9"
2024-25,Transport Services,17,2783.93,equity-only,"SEBI Bulletin October 2025, Table 9"
