calendar_year,year_end_date,index_name_in_source,year_end_close,pe_ratio,pe_source
2000,2000-12-29,S&P CNX Nifty,1263.55,19.59,SEBI Handbook of Statistics 2008 Table 56 (monthly average; month-end not in any SEBI source for 2000)
2001,2001-12-31,S&P CNX Nifty,1059.05,15.59,SEBI Handbook of Statistics 2008 Table 56 (monthly average; month-end not in any SEBI source for 2001)
2002,2002-12-31,S&P CNX Nifty,1093.5,14.57,SEBI Handbook of Statistics 2008 Table 56 (monthly average; month-end not in any SEBI source for 2002)
2003,2003-12-31,S&P CNX Nifty,1879.75,20.73,SEBI Annual Report 2003-04 Part II Table 2.11 (month-end)
2004,2004-12-31,S&P CNX Nifty,2080.5,15.32,SEBI Annual Report 2004-05 Part II Table 2.20 (month-end)
2005,2005-12-30,S&P CNX Nifty,2836.55,17.16,SEBI Handbook of Statistics 2008 Table 56 (monthly average; AR 2005-06 PDF is scanned image)
2006,2006-12-29,S&P CNX Nifty,3966.4,21.26,SEBI Annual Report 2006-07 Part II Table 2.16 (month-end)
2007,2007-12-31,S&P CNX Nifty,6138.6,27.62,SEBI Annual Report 2007-08 Part II Table 2.16 (month-end)
2008,2008-12-31,S&P CNX Nifty,2959.15,12.97,SEBI Annual Report 2008-09 Table 2.16 (month-end)
2009,2009-12-31,S&P CNX Nifty,5201.05,23.17,SEBI Annual Report 2009-10 Table 2.16 (month-end)
2010,2010-12-31,Nifty 50,6134.5,24.5,SEBI Annual Report 2010-11 Table 2.16 (month-end)
2011,2011-12-30,Nifty 50,4624.3,16.8,SEBI Annual Report 2011-12 Table 2.16 (month-end)
2012,2012-12-31,S&P CNX Nifty,5905.1,18.68,NSE archives bhavcopy (ind_close_all_31122012.csv)
2013,2013-12-31,CNX Nifty,6304.0,18.7,NSE archives bhavcopy (ind_close_all_31122013.csv)
2014,2014-12-31,CNX Nifty,8282.7,21.16,NSE archives bhavcopy (ind_close_all_31122014.csv)
2015,2015-12-31,Nifty 50,7946.35,21.49,NSE archives bhavcopy (ind_close_all_31122015.csv)
2016,2016-12-30,Nifty 50,8185.8,21.93,NSE archives bhavcopy (ind_close_all_30122016.csv)
2017,2017-12-29,Nifty 50,10530.7,26.92,NSE archives bhavcopy (ind_close_all_29122017.csv)
2018,2018-12-31,Nifty 50,10862.55,26.17,NSE archives bhavcopy (ind_close_all_31122018.csv)
2019,2019-12-31,Nifty 50,12168.45,28.3,NSE archives bhavcopy (ind_close_all_31122019.csv)
2020,2020-12-31,Nifty 50,13981.75,38.45,NSE archives bhavcopy (ind_close_all_31122020.csv)
2021,2021-12-31,Nifty 50,17354.05,24.11,NSE archives bhavcopy (ind_close_all_31122021.csv)
2022,2022-12-30,Nifty 50,18105.3,21.79,NSE archives bhavcopy (ind_close_all_30122022.csv)
2023,2023-12-29,Nifty 50,21731.4,23.17,NSE archives bhavcopy (ind_close_all_29122023.csv)
2024,2024-12-30,Nifty 50,23644.9,21.76,NSE archives bhavcopy (ind_close_all_30122024.csv)
2025,2025-12-31,Nifty 50,26129.6,22.75,NSE archives bhavcopy (ind_close_all_31122025.csv)
