fiscal_year,year_label,fpo_rights_count,fpo_rights_amount_cr,fpo_count,fpo_amount_cr,rights_count,rights_amount_cr,methodology,source
2001-02,2002,8,70,,,,,equity total minus IPO (instrument-wise) — handbook era,SEBI Handbook of Statistics 2010 (Table 5)
2002-03,2003,11,418,,,,,equity total minus IPO,SEBI Handbook of Statistics 2010 (Table 5)
2003-04,2004,30,15515,,,,,equity total minus IPO,SEBI Handbook of Statistics 2010 (Table 5)
2004-05,2005,32,10639,,,,,equity total minus IPO,SEBI Handbook of Statistics 2010 (Table 5)
2005-06,2006,59,16436,,,,,equity total minus IPO,SEBI Handbook of Statistics 2010 (Table 5)
2006-07,2007,44,4397,,,,,equity total minus IPO,SEBI Handbook of Statistics 2010 (Table 5)
2007-08,2008,35,37144,,,,,equity total minus IPO,SEBI Handbook of Statistics 2010 (Table 5)
2008-09,2009,24,12190,,,,,equity total minus IPO,SEBI Handbook of Statistics 2010 (Table 5)
2009-10,2010,33,30179,,,,,equity total minus IPO,SEBI Handbook of Statistics 2010 (Table 5)
2010-11,2011,27,22108,,,,,equity total minus IPO,SEBI Handbook of Statistics 2018 Part I (Table 1)
2011-12,2012,16,2375,,,16,2375,Rights count and amount used (derivation breaks: IPO count > equity total),SEBI Handbook of Statistics 2018 Part I (Table 1)
2012-13,2013,16,8945,,,,,equity total minus IPO,SEBI Handbook of Statistics 2018 Part I (Table 1)
2013-14,2014,17,12033,,,,,equity total minus IPO,SEBI Handbook of Statistics 2018 Part I (Table 1)
2014-15,2015,17,5477,,,,,equity total minus IPO,SEBI Handbook of Statistics 2018 Part I (Table 1)
2015-16,2016,13,9239,,,,,equity total minus IPO,SEBI Handbook of Statistics 2018 Part I (Table 1)
2016-17,2017,12,3417,,,,,equity total minus IPO,SEBI Handbook of Statistics 2018 Part I (Table 1)
2017-18,2018,22,21413,,,,,equity total minus IPO,SEBI Handbook of Statistics 2018 Part I (Table 1)
2018-19,2019,10,2148.65,,,10,2148.65,Listed issuer-type from equity-only bulletin table,SEBI Bulletin June 2019 (Table 5)
2019-20,2020,19,55679.27,3,37.23,16,55642.04,Listed issuer-type from equity-only bulletin table (FPO derived as Listed - Rights),SEBI Bulletin December 2020 (Table 5)
2020-21,2021,19,78986.76,1,15000,18,63986.76,Listed issuer-type from equity-only bulletin table (FPO derived as Listed - Rights),SEBI Bulletin June 2021 (Table 5)
2021-22,2022,44,26341.77,1,15.00,43,26326.76,Listed issuer-type from equity-only bulletin table (FPO derived as Listed - Rights),SEBI Bulletin October 2022 (Table 5B)
2022-23,2023,74,11050.82,1,4300,73,6750.82,FPO + Rights explicit from consolidated bulletin table,SEBI Bulletin April 2024 (Table 6)
2023-24,2024,68,15137.20,1,27,67,15110.20,FPO + Rights explicit from consolidated bulletin table,SEBI Bulletin April 2024 (Table 6)
2024-25,2025,144,37862,2,18150,142,19712,FPO + Rights explicit from consolidated bulletin table,SEBI Bulletin October 2025 (Table 6)
