symbol,index,date,ratio,implied,volume_step,level_hold
8KMILES,632,2016-10-10,2.5,2.587,1.66,0.956
ABIRLANUVO,456,2016-01-20,2.0,2.078,1.68,0.802
AEGISCHEM,373,2015-09-16,10.0,9.703,11.74,1.094
AJANTPHARM,250,2015-03-20,2.5,2.436,2.13,1.072
AJMERA,610,2016-11-09,1.25,1.222,1.71,1.104
ALKYLAMINE,125,2014-09-08,2.0,1.988,1.76,1.037
ALLSEC,650,2016-11-09,1.25,1.244,2.45,1.155
AMRUTANJAN,968,2018-04-13,2.0,1.983,2.42,0.953
APCOTEXIND,1304,2019-07-04,2.5,2.484,1.47,0.896
ASHIMASYN,330,2015-10-30,1.25,1.242,1.66,0.986
ASTRAL,138,2014-09-25,2.0,1.989,1.61,0.94
ASTRAZEN,1479,2020-03-23,1.25,1.222,1.86,1.179
ATLANTA,1035,2018-05-31,1.25,1.25,1.67,0.88
ATULAUTO,129,2014-09-12,2.0,1.964,1.9,0.906
AUROPHARMA,331,2015-07-20,2.0,1.985,1.46,0.995
AXISBANK,99,2014-07-28,5.0,4.922,3.82,0.989
BAJFINANCE,611,2016-09-08,10.0,9.874,9.55,0.955
BANKBARODA,212,2015-01-22,5.0,4.938,6.95,0.812
BANKBEES,1415,2019-12-19,10.0,9.911,12.48,0.997
BATAINDIA,385,2015-10-07,2.0,1.995,1.84,0.957
BEL,737,2017-03-16,10.0,9.847,10.22,1.028
BERGEPAINT,202,2015-01-08,2.0,1.945,2.59,1.047
BHARATFORG,870,2017-09-28,2.0,1.989,1.59,1.052
BIRLAMONEY,740,2017-05-30,1.25,1.289,3.41,0.985
BLUESTINFO,381,2015-09-30,1.25,1.25,2.08,0.918
BPCL,572,2016-07-13,2.0,2.001,2.44,1.041
BRIGADE,1341,2019-08-28,1.5,1.462,3.27,1.064
BRITANNIA,1157,2018-11-29,2.0,1.977,1.55,1.038
CADILAHC,384,2015-10-06,5.0,4.973,5.47,1.017
CANFINHOME,879,2017-10-12,5.0,4.948,9.59,0.971
CGCL,658,2016-11-23,5.0,5.105,2.82,1.041
CHOLAFIN,1290,2019-06-14,5.0,4.957,1.96,0.962
CONCOR,1053,2018-06-26,2.0,2.029,1.45,1.041
CORPBANK,212,2015-01-22,5.0,4.935,2.71,0.832
DAAWAT,712,2017-02-07,10.0,9.94,2.88,1.171
DECCANCE,815,2017-09-11,2.0,1.993,1.68,1.003
DHFL,368,2015-09-09,2.0,1.933,1.18,1.016
DWARKESH,818,2017-08-10,10.0,10.205,3.34,0.978
EMAMILTD,1050,2018-06-21,2.0,2.002,1.46,0.986
ESSELPACK,1049,2018-06-20,2.0,1.99,2.32,0.91
FEDERALBNK,323,2015-07-08,2.0,2.024,2.02,0.909
FILATEX,976,2018-06-27,5.0,4.897,5.81,0.99
GAIL,1307,2019-07-09,2.0,2.001,1.51,0.911
GAL,581,2016-10-13,10.0,9.819,5.8,1.068
GALLISPAT,985,2018-08-07,10.0,9.724,27.39,1.184
GAYAPROJ,678,2017-02-10,5.0,4.904,24.3,0.961
GODFRYPHLP,174,2014-11-28,5.0,4.973,1.93,0.967
GODREJCP,803,2017-06-22,2.0,1.983,1.25,1.0
GRANULES,251,2015-03-23,10.0,9.844,17.4,1.07
GRASIM,630,2016-10-06,5.0,4.963,5.37,0.985
GREENPLY,436,2016-01-06,5.0,4.958,9.72,0.901
GREENPLY,1300,2019-07-26,1.25,1.277,1.89,1.017
GRUH,1039,2018-06-06,2.0,2.054,2.0,0.926
GTL,1175,2019-04-02,1.5,1.552,1.71,0.926
GUJAPOLLO,1478,2020-03-23,1.25,1.246,1.53,1.101
HATHWAY,200,2015-01-06,5.0,5.001,6.09,0.928
HAVELLS,117,2014-08-26,5.0,4.956,11.31,1.106
HCLTECH,249,2015-03-19,2.0,2.027,1.81,0.961
HCLTECH,1405,2019-12-05,2.0,1.996,1.64,0.997
HDFCBANK,1355,2019-09-19,2.0,1.989,2.46,1.119
HERITGFOOD,877,2017-10-10,2.0,2.0,1.32,1.009
HIKAL,236,2015-02-27,5.0,4.936,3.47,0.937
HINDPETRO,815,2017-07-11,1.5,1.507,1.99,1.098
HSIL,1289,2019-09-03,5.0,5.105,2.25,0.981
HUBTOWN,793,2017-06-07,1.25,1.25,1.68,1.165
ICICIBANK,178,2014-12-04,5.0,4.949,2.91,0.981
ICIL,641,2016-11-11,5.0,5.157,3.12,0.956
IGL,898,2017-11-09,5.0,4.944,4.9,1.002
INDNIPPON,987,2018-03-21,2.0,1.981,1.86,1.017
INFY,176,2014-12-02,2.0,2.009,2.44,0.904
INFY,307,2015-06-15,2.0,2.022,1.77,1.003
INFY,1101,2018-09-04,2.0,1.986,2.33,1.014
INSECTICID,266,2015-04-16,1.5,1.529,1.6,0.89
IOC,983,2018-03-15,2.0,2.068,3.13,0.879
ITDCEM,273,2015-08-21,10.0,9.974,7.68,0.979
J&KBANK,123,2014-09-04,10.0,9.873,12.51,0.917
JAMNAAUTO,422,2015-12-03,2.0,1.974,14.36,1.091
JAMNAAUTO,873,2017-10-05,5.0,4.971,7.35,1.115
JAYAGROGN,830,2017-08-01,2.0,2.005,1.98,0.94
JINDWORLD,898,2017-12-26,2.0,1.971,1.62,1.013
JKIL,428,2015-12-10,2.0,2.018,1.15,1.003
JKIL,835,2017-08-11,1.25,1.25,5.35,0.863
JKIL,836,2017-08-14,1.25,1.245,5.59,1.078
JMCPROJECT,1109,2018-10-04,5.0,5.046,6.75,1.023
