rank,symbol,trailing_month
1,SBIN,2015-02
2,ICICIBANK,2015-02
3,INFY,2015-02
4,LT,2015-02
5,COALINDIA,2015-02
6,HDFC,2015-02
7,AXISBANK,2015-02
8,HEROMOTOCO,2015-02
9,TCS,2015-02
10,WOCKPHARMA,2015-02
11,YESBANK,2015-02
12,TATAMOTORS,2015-02
13,BOSCHLTD,2015-02
14,RELIANCE,2015-02
15,ITC,2015-02
16,JINDALSTEL,2015-02
17,HCLTECH,2015-02
18,HDIL,2015-02
19,SUZLON,2015-02
20,M&M,2015-02
21,HDFCBANK,2015-02
22,TECHM,2015-02
23,AUROPHARMA,2015-02
24,SUNPHARMA,2015-02
25,LUPIN,2015-02
26,TATASTEEL,2015-02
27,ADANIENT,2015-02
28,KOTAKBANK,2015-02
29,ONGC,2015-02
30,BHARATFORG,2015-02
31,ASIANPAINT,2015-02
32,UNITECH,2015-02
33,LICHSGFIN,2015-02
34,BHARTIARTL,2015-02
35,BEL,2015-02
36,DLF,2015-02
37,TWL,2015-02
38,PIPAVAVDOC,2015-02
39,INFRATEL,2015-02
40,PNB,2015-02
41,HINDUNILVR,2015-02
42,HINDPETRO,2015-02
43,APOLLOTYRE,2015-02
44,BHEL,2015-02
45,BPCL,2015-02
46,WIPRO,2015-02
47,RELCAPITAL,2015-02
48,CIPLA,2015-02
49,RELINFRA,2015-02
50,BAJAJ-AUTO,2015-02
51,CANBK,2015-02
52,HINDALCO,2015-02
53,ASHOKLEY,2015-02
54,DRREDDY,2015-02
55,MARUTI,2015-02
56,UPL,2015-02
57,BANKBARODA,2015-02
58,JETAIRWAYS,2015-02
59,TATAELXSI,2015-02
60,BANKINDIA,2015-02
61,IDFC,2015-02
62,UNIONBANK,2015-02
63,ACC,2015-02
64,SSLT,2015-02
65,MCDOWELL-N,2015-02
66,MCX,2015-02
67,IBULHSGFIN,2015-02
68,JUBLFOOD,2015-02
69,CROMPGREAV,2015-02
70,NTPC,2015-02
71,TVSMOTOR,2015-02
72,IBREALEST,2015-02
73,EICHERMOT,2015-02
74,ADANIPORTS,2015-02
75,SPARC,2015-02
76,ZEEL,2015-02
77,BEML,2015-02
78,RECLTD,2015-02
79,PFC,2015-02
80,ARVIND,2015-02
81,IDEA,2015-02
82,ROLTA,2015-02
83,JPASSOCIAT,2015-02
84,TATAMTRDVR,2015-02
85,CAIRN,2015-02
86,SINTEX,2015-02
87,INDUSINDBK,2015-02
88,ULTRACEMCO,2015-02
89,GLENMARK,2015-02
90,IRB,2015-02
91,GAIL,2015-02
92,SRTRANSFIN,2015-02
93,MOTHERSUMI,2015-02
94,JSWSTEEL,2015-02
95,TEXRAIL,2015-02
96,MRF,2015-02
97,NBCC,2015-02
98,SKSMICRO,2015-02
99,VOLTAS,2015-02
100,HAVELLS,2015-02
101,SIEMENS,2015-02
102,NCC,2015-02
103,JSWENERGY,2015-02
104,CESC,2015-02
105,TITAN,2015-02
106,ORIENTBANK,2015-02
107,BRITANNIA,2015-02
108,HEXAWARE,2015-02
109,M&MFIN,2015-02
110,RCOM,2015-02
111,CENTURYTEX,2015-02
112,ABAN,2015-02
113,RANBAXY,2015-02
114,AMBUJACEM,2015-02
115,STAR,2015-02
116,INGVYSYABK,2015-02
117,ADANIPOWER,2015-02
118,DHFL,2015-02
119,EXIDEIND,2015-02
120,TATAPOWER,2015-02
121,BFUTILITIE,2015-02
122,FEDERALBNK,2015-02
123,FORTIS,2015-02
124,CEATLTD,2015-02
125,POWERGRID,2015-02
126,INDIACEM,2015-02
127,ALBK,2015-02
128,GMRINFRA,2015-02
129,JISLJALEQS,2015-02
130,RPOWER,2015-02
131,GRASIM,2015-02
132,TATASPONGE,2015-02
133,PETRONET,2015-02
134,DABUR,2015-02
135,KPIT,2015-02
136,DISHTV,2015-02
137,SUNTV,2015-02
138,KALINDEE,2015-02
139,JUSTDIAL,2015-02
140,SYNDIBANK,2015-02
141,SHREECEM,2015-02
142,IOC,2015-02
143,TATAGLOBAL,2015-02
144,DIVISLAB,2015-02
145,KSCL,2015-02
146,MAKE,2015-02
147,NMDC,2015-02
148,ABGSHIP,2015-02
