symbol,status,days,note
BSOFT,ok,267,
BURNPUR,ok,1136,
BUTTERFLY,ok,1365,
BYKE,ok,1221,
CADILAHC,ok,1486,
CAIRN,ok,764,
CAMLINFINE,ok,1276,
CANBK,ok,1486,
CANDC,ok,977,
CANFINHOME,ok,1486,
CANTABIL,ok,1399,
CAPACITE,ok,619,
CAPF,ok,1177,
CAPLIPOINT,ok,1412,
CARBORUNIV,ok,1486,
CAREERP,ok,1442,
CARERATING,ok,1486,
CASTEXTECH,ok,905,
CASTROLIND,ok,1468,
CCL,ok,1486,
CDSL,ok,678,
CEATLTD,ok,1486,
CELEBRITY,ok,1321,
CELESTIAL,ok,1349,
CENTENKA,ok,1486,
CENTRALBK,ok,1486,
CENTRUM,ok,491,
CENTUM,ok,1486,
CENTURYPLY,ok,1486,
CENTURYTEX,ok,1486,
CERA,ok,1486,
CEREBRAINT,ok,1291,
CESC,ok,1486,
CESCVENT,ok,279,
CGCL,ok,1485,
CGPOWER,ok,719,
CHALET,ok,280,
CHAMBLFERT,ok,1486,
CHEMFALKAL,ok,783,
CHENNPETRO,ok,1486,
CHOLAFIN,ok,1486,
CHOLAHLDNG,ok,239,
CHROMATIC,ok,1251,
CIGNITITEC,ok,1223,
CIMMCO,ok,1333,
CINELINE,ok,1484,
CIPLA,ok,1486,
CKFSL,ok,153,
CLNINDIA,ok,1486,
CMAHENDRA,ok,379,
CMC,ok,381,
CMICABLES,ok,823,
COALINDIA,ok,1486,
COCHINSHIP,ok,648,
COFFEEDAY,ok,1006,
COLPAL,ok,1486,
COMPINFO,ok,918,
CONCOR,ok,1486,
CONFIPET,ok,197,
CONTROLPR,ok,926,
CORALFINAC,ok,678,
CORDSCABLE,ok,1402,
COROMANDEL,ok,1486,
CORPBANK,ok,1478,
COSMOFILMS,ok,1486,
COX&KINGS,ok,1409,
CPSEETF,ok,1463,
CREDITACC,ok,393,
CREST,ok,1234,
CRISIL,ok,1486,
CROMPGREAV,ok,732,
CROMPTON,ok,946,
CSBBANK,ok,82,
CUB,ok,1486,
CUMMINSIND,ok,1486,
CUPID,ok,870,
CYBERTECH,ok,1486,
CYIENT,ok,1434,
DAAWAT,ok,1486,
DABUR,ok,1486,
DALBHARAT,ok,282,
DALMIABHA,ok,1131,
DALMIASUG,ok,1425,
DATAMATICS,ok,1486,
DBCORP,ok,1486,
DBL,ok,893,
DBREALTY,ok,1343,
DCAL,ok,611,
DCBBANK,ok,1486,
DCM,ok,1428,
DCMSHRIRAM,ok,1478,
DCW,ok,1428,
DECCANCE,ok,1444,
DEEPAKFERT,ok,1486,
DEEPAKNTR,ok,1486,
DEEPIND,ok,1486,
DELTACORP,ok,1486,
DEN,ok,1431,
DENABANK,ok,1226,
DENORA,ok,1437,
DFMFOODS,ok,801,
DHAMPURSUG,ok,1486,
DHANBANK,ok,1446,
DHANUKA,ok,1486,
DHARSUGAR,ok,1227,
DHFL,ok,1486,
DHUNINV,ok,1465,
DIAMONDYD,ok,612,
DIAPOWER,ok,992,
DICIND,ok,1486,
DIGJAM,ok,485,
DIGJAMLTD,ok,664,
DISHMAN,ok,787,
DISHTV,ok,1486,
DIVISLAB,ok,1486,
DIXON,ok,624,
DLF,ok,1486,
DLINKINDIA,ok,1388,
DMART,ok,727,
DOLAT,ok,152,
DOLLAR,ok,699,
DOLPHINOFF,ok,1338,
DONEAR,ok,1400,
DPL,ok,975,
DQE,ok,1248,
DRDATSONS,ok,291,
DREDGECORP,ok,1486,
DRREDDY,ok,1486,
DSKULKARNI,ok,826,
DTIL,ok,1225,
DUCON,ok,907,
DWARKESH,ok,1411,
DYNAMATECH,ok,1389,
EBBETF0423,ok,62,
EBBETF0430,ok,62,
ECEIND,ok,1242,
ECLERX,ok,1486,
EDELWEISS,ok,1460,
EDL,ok,1147,
EDUCOMP,ok,801,
EICHERMOT,ok,1486,
EIDPARRY,ok,1486,
EIHAHOTELS,ok,1483,
EIHOTEL,ok,1486,
EKC,ok,1470,
ELAND,ok,950,
ELDERPHARM,ok,356,
ELECON,ok,1486,
ELECTCAST,ok,1486,
ELECTHERM,ok,1371,
ELGIEQUIP,ok,1486,
ELGIRUBCO,ok,1486,
EMAMIINFRA,ok,1023,
EMAMILTD,ok,1486,
EMAMIREAL,ok,267,
EMCO,ok,1070,
EMKAY,ok,1371,
EMMBI,ok,1486,
ENDURANCE,ok,849,
ENERGYDEV,ok,1315,
ENGINERSIN,ok,1486,
ENIL,ok,1486,
EON,ok,1334,
