role,name,qualification,experience,years_present,status,first_seen_in_ar
Managing Director,Bharat Puri,,,"FY2021,FY2022,FY2023,FY2025",current,https://www.bseindia.com/bseplus/AnnualReport/500331/68937500331_19_07_21.pdf
Managing Director,Kavinder Singh,,,FY2024–FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/7cc75aa9-8e98-42f3-9d45-a61e93c5574e.pdf
Managing Director,Sudhanshu Vats,,,FY2023–FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/0abfd9ff-247a-4487-9c75-a8068361d4ab.pdf
CFO,Sandeep Batra,,,FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/344b4889-6fa9-4a1f-adc3-d52ce16690b4.pdf
Chairman,Sudhanshu Vats,,,FY2022,exited,https://www.bseindia.com/bseplus/AnnualReport/500331/73708500331.pdf
Chairman,Vinod Dasari,,,FY2021,exited,https://www.bseindia.com/bseplus/AnnualReport/500331/68937500331_19_07_21.pdf
Managing Director,Debabrata Gupta,,,FY2021–FY2022,exited,https://www.bseindia.com/bseplus/AnnualReport/500331/68937500331_19_07_21.pdf
Managing Director,Sudhanshu Vats Deputy,,,"FY2022,FY2024",exited,https://www.bseindia.com/bseplus/AnnualReport/500331/73708500331.pdf
CFO,Pradip Kumar Menon,,,FY2021,exited,https://www.bseindia.com/bseplus/AnnualReport/500331/68937500331_19_07_21.pdf
CFO,Pradip Menon,,,FY2022,exited,https://www.bseindia.com/bseplus/AnnualReport/500331/73708500331.pdf
