role,name,qualification,experience,years_present,status,first_seen_in_ar
Chairman,Hari Shanker Khemka,,,FY2026,current,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=145d752e-658e-4c6f-b8e5-b03fc587004a.pdf
Managing Director,Aditya Khemka,"aria is a Bachelor in Petro Chemical Engineering (BE) from Pune University and an MBA from Boston College, US. He started",,FY2026,current,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=145d752e-658e-4c6f-b8e5-b03fc587004a.pdf
Managing Director,Ananmay Khemka,"aria is a Bachelor in Petro Chemical Engineering (BE) from Pune University and an MBA from Boston College, US. He started",,FY2026,current,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=145d752e-658e-4c6f-b8e5-b03fc587004a.pdf
CFO,Yogesh Chand Sharma,,,FY2026,current,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=145d752e-658e-4c6f-b8e5-b03fc587004a.pdf
