role,name,qualification,experience,years_present,status,first_seen_in_ar
Chairman,"Ashish Ramesh 
SarafExecutive",,,FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/6b06dce5-8466-4194-bfec-d9845cb1a1dc.pdf
Chairman,Ashish Ramesh Saraf,,,FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/6b06dce5-8466-4194-bfec-d9845cb1a1dc.pdf
Chairman,Gautam Kumar Pal,,,FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/6b06dce5-8466-4194-bfec-d9845cb1a1dc.pdf
Chairman,Kamleshwar Sharan,,,FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/6b06dce5-8466-4194-bfec-d9845cb1a1dc.pdf
Chairman,Abhishek Dev IAS,,,FY2024,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/091c5c71-75dc-4be4-9241-b4e1324fee48.pdf
Chairman,Ashish Bakliwal,,,"FY2021,FY2023",exited,https://www.bseindia.com/bseplus/AnnualReport/541974/71852541974.pdf
Chairman,Gautma Kumar Pal,,,FY2023,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/b90cced9-918a-4bf3-a324-aa121ef33557.pdf
Chairman,Joko Supriyono,,,FY2023,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/b90cced9-918a-4bf3-a324-aa121ef33557.pdf
Chairman,Nadir Godrej,,,FY2024,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/091c5c71-75dc-4be4-9241-b4e1324fee48.pdf
Chairman,Nipun Mehta,,,FY2023,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/b90cced9-918a-4bf3-a324-aa121ef33557.pdf
Chairman,"Vinita Ashish 
SarafNon",,,FY2024,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/091c5c71-75dc-4be4-9241-b4e1324fee48.pdf
Chairman,Vinita Ashish Saraf,,,"FY2021,FY2024",exited,https://www.bseindia.com/bseplus/AnnualReport/541974/71852541974.pdf
Chairman,Vinita Saraf,,,FY2021–FY2023,exited,https://www.bseindia.com/bseplus/AnnualReport/541974/71852541974.pdf
Chairman,Vinita Saraf Non,,,FY2023,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/b90cced9-918a-4bf3-a324-aa121ef33557.pdf
Managing Director,Gautam Kumar Pal,,,FY2023–FY2024,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/b90cced9-918a-4bf3-a324-aa121ef33557.pdf
Managing Director,"Vinita Ashish 
SarafMember",,,FY2021,exited,https://www.bseindia.com/bseplus/AnnualReport/541974/71852541974.pdf
Managing Director,Vinita Saraf,,,FY2021–FY2022,exited,https://www.bseindia.com/bseplus/AnnualReport/541974/71852541974.pdf
CFO,Ashok Jain,,,FY2021,exited,https://www.bseindia.com/bseplus/AnnualReport/541974/71852541974.pdf
