role,name,qualification,experience,years_present,status,first_seen_in_ar
Managing Director,Rishi Anand,,"anagement, Kozhikode, and has over 30 years of experience in the financial services sector. Prior to his cu",FY2024–FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/0c8d4d65-6bc6-4d64-a059-d4b7b1a8d641.pdf
CFO,Rajesh Viswanathan,"o holds a bachelor’s degree in commerce from the University of Mumbai. He has been associated with the Company since December 01, 2019, and",,FY2024–FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/0c8d4d65-6bc6-4d64-a059-d4b7b1a8d641.pdf
