role,name,qualification,experience,years_present,status,first_seen_in_ar
Chairman,Anita Bandyopadhyay,,,FY2023–FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/1ac57c99-5517-4291-84c1-8fe9d6b579f3.pdf
Chairman,Arvind Vasudeva,,,FY2023–FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/1ac57c99-5517-4291-84c1-8fe9d6b579f3.pdf
Chairman,Hetal Madhukant Gandhi,,,FY2023–FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/1ac57c99-5517-4291-84c1-8fe9d6b579f3.pdf
Chairman,Omprakash Inani,"s. By qualification, he is an MBA and CFA.Piyush Goenka Independent Director7Ms. Sirisha Chintapalli is",,"FY2021,FY2023,FY2024,FY2025",current,https://www.bseindia.com/bseplus/AnnualReport/530549/71186530549.pdf
Managing Director,Kalakota Sharath Reddy,,,FY2023–FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/1ac57c99-5517-4291-84c1-8fe9d6b579f3.pdf
Managing Director,Vishnukant Chaturbhuj Bhutada,"Institute of Management Studies, Mumbai, and a Ph.D. in economics from IIT, Mumbai. He also holds an advanced manageme",ed Mr. Hetal Gandhi has over 36+ years of experience in the financial services industry that encompa,"FY2021,FY2023,FY2024,FY2025",current,https://www.bseindia.com/bseplus/AnnualReport/530549/71186530549.pdf
Chairman,Pramod Kasat,,,FY2021,exited,https://www.bseindia.com/bseplus/AnnualReport/530549/71186530549.pdf
Chairman,Rajender Sunki Reddy,,,FY2021,exited,https://www.bseindia.com/bseplus/AnnualReport/530549/71186530549.pdf
Chairman,Sirisha Chintapalli,,,FY2023,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/1ac57c99-5517-4291-84c1-8fe9d6b579f3.pdf
CFO,Sushil Bajaj,,,FY2021,exited,https://www.bseindia.com/bseplus/AnnualReport/530549/71186530549.pdf
