role,name,qualification,experience,years_present,status,first_seen_in_ar
Chairman,Karan Thapar,,"hartered Accountant Expertise Over 37 years of experience across diverse industries, including industrial",FY2022–FY2026,current,https://www.bseindia.com/bseplus/AnnualReport/501455/73795501455.pdf
Chairman,Kavita Nair,,,FY2026,current,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=628f5b81-d0ec-419a-819e-ab3ab5b50eab.pdf
Managing Director,Parag Satpute,,"hartered Accountant Expertise Over 37 years of experience across diverse industries, including industrial",FY2025–FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/deba16c4-bf28-4271-b8c5-3a19a2728b94.pdf
Chairman,Arvind	Kumar	Singhal,,,FY2024,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/74c437c8-caae-407f-8ae2-2a82f7646dd9.pdf
Chairman,Sree Patel,,,FY2022–FY2024,exited,https://www.bseindia.com/bseplus/AnnualReport/501455/73795501455.pdf
Managing Director,Arup	Basu,Arup Basu is an engineer from Imperial College (University of London) followed by PhD in Composite Materials from University of Mancheste,,FY2022–FY2025,exited,https://www.bseindia.com/bseplus/AnnualReport/501455/73795501455.pdf
Managing Director,"Arup Basu
Deputy",,,FY2022,exited,https://www.bseindia.com/bseplus/AnnualReport/501455/73795501455.pdf
Managing Director,Nagesh Basavanhalli,,,FY2022,exited,https://www.bseindia.com/bseplus/AnnualReport/501455/73795501455.pdf
CFO,Akhila Balachandar,,,FY2024–FY2025,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/74c437c8-caae-407f-8ae2-2a82f7646dd9.pdf
CFO,Dalpat Jain,,,FY2024,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/74c437c8-caae-407f-8ae2-2a82f7646dd9.pdf
