role,name,qualification,experience,years_present,status,first_seen_in_ar
Chairman,Bal Kishan Choudhury,"Kumar Khaitan, Independent Director has ceased to be the Chairman of the Committee with effect from 27 August, 2024 conse",,FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/f2577684-625e-4f53-9b21-f618724ccfc8.pdf
Chairman,Jinendra Kumar Jain,"Kumar Khaitan, Independent Director has ceased to be a Chairman of the Committee with effect from 27 August, 2024 consequ",,FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/f2577684-625e-4f53-9b21-f618724ccfc8.pdf
Chairman,Rajkumar Khanna,,,FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/f2577684-625e-4f53-9b21-f618724ccfc8.pdf
Managing Director,Ashutosh Agarwal,,,FY2022–FY2025,current,https://www.bseindia.com/bseplus/AnnualReport/500128/74357500128.pdf
Managing Director,Madhav Kejriwal,,,FY2022–FY2025,current,https://www.bseindia.com/bseplus/AnnualReport/500128/74357500128.pdf
Managing Director,Mayank Kejriwal,,,FY2021–FY2025,current,https://www.bseindia.com/bseplus/AnnualReport/500128/69425500128.pdf
Managing Director,Nityangi Kejriwal Jaiswal,,,FY2022–FY2025,current,https://www.bseindia.com/bseplus/AnnualReport/500128/74357500128.pdf
Managing Director,Priya Manjari Todi,,,FY2022–FY2025,current,https://www.bseindia.com/bseplus/AnnualReport/500128/74357500128.pdf
Managing Director,Radha Kejriwal Agarwal,,,FY2022–FY2025,current,https://www.bseindia.com/bseplus/AnnualReport/500128/74357500128.pdf
Managing Director,Sunil Katial,"Kumar Khaitan, Independent Director has ceased to be a Chairman of the Committee with effect from 27 August, 2024 consequ",,FY2022–FY2025,current,https://www.bseindia.com/bseplus/AnnualReport/500128/74357500128.pdf
Managing Director,Uddhav Kejriwal,,,FY2021–FY2025,current,https://www.bseindia.com/bseplus/AnnualReport/500128/69425500128.pdf
Managing Director,Umang Kejriwal,,,FY2021–FY2025,current,https://www.bseindia.com/bseplus/AnnualReport/500128/69425500128.pdf
Chairman,Binod Kumar Khaitan,"Ram Krishna Agarwal (DIN: 00416964) has ceased to be a Member of the Committee, due to his resignation from the directors",,FY2021–FY2024,exited,https://www.bseindia.com/bseplus/AnnualReport/500128/69425500128.pdf
Chairman,Pradip Kumar Khaitan,,,FY2021,exited,https://www.bseindia.com/bseplus/AnnualReport/500128/69425500128.pdf
Managing Director,"Mahendra 
Kumar Jalan",,,FY2021–FY2022,exited,https://www.bseindia.com/bseplus/AnnualReport/500128/69425500128.pdf
Managing Director,Mohua Banerjee,,,FY2023,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/20aa9b7e-be99-43e1-ba52-24bc35a7c2d6.pdf
Managing Director,Umang KejriwalJoint,ted entities from which the person has ceased to be Director during the past three years NIL NIL 14. Number of shares,,FY2022–FY2023,exited,https://www.bseindia.com/bseplus/AnnualReport/500128/74357500128.pdf
Managing Director,Vyas Mitre Ralli,,,FY2021,exited,https://www.bseindia.com/bseplus/AnnualReport/500128/69425500128.pdf
CEO,Mahendra Kumar Jalan,,,FY2021,exited,https://www.bseindia.com/bseplus/AnnualReport/500128/69425500128.pdf
CEO,Sunil Katial,,,FY2021–FY2024,exited,https://www.bseindia.com/bseplus/AnnualReport/500128/69425500128.pdf
CFO,Ashutosh Agarwal,,,FY2022–FY2024,exited,https://www.bseindia.com/bseplus/AnnualReport/500128/74357500128.pdf
