role,name,qualification,experience,years_present,status,first_seen_in_ar
Chairman,Atul Ruia,a is a graduate in Chemical Engineering from the University of P ennsylvania and holds a degree in Business Management from the Whart,hoenix Group since 1999 . His over 24 years of experience with the Phoenix Group spans multiple businesses,FY2021–FY2025,current,https://www.bseindia.com/bseplus/AnnualReport/503100/70483503100_18_09_21.pdf
Managing Director,Anand Khatau,,,FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/d3d9d423-7fbb-48bc-a0a0-c4e10b26ad56.pdf
Managing Director,Shishir Shrivastava,"te University of New Jersey, USA, and has previously served as the Managing Director at O",hoenix Group since 1999 . His over 24 years of experience with the Phoenix Group spans multiple businesses,FY2021–FY2025,current,https://www.bseindia.com/bseplus/AnnualReport/503100/70483503100_18_09_21.pdf
Chairman,"Atul Ruia
Designation",,,FY2022,exited,https://www.bseindia.com/bseplus/AnnualReport/503100/74653503100.pdf
Chairman,Atul Ruia Non,,,FY2023,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/2dc01e8c-0d47-490d-9880-ae285f796b96.pdf
Chairman,Atul Ruia Promoter,,,FY2022,exited,https://www.bseindia.com/bseplus/AnnualReport/503100/74653503100.pdf
Managing Director,Rajendra Kalkar,,,FY2022,exited,https://www.bseindia.com/bseplus/AnnualReport/503100/74653503100.pdf
Managing Director,Rajesh Kulkarni,,,"FY2022,FY2024",exited,https://www.bseindia.com/bseplus/AnnualReport/503100/74653503100.pdf
Managing Director,Rashmi Sen,,,FY2024,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/ffa25286-de78-4241-b01b-9258e9c1e3bc.pdf
Managing Director,Shared Pungalia,,,FY2024,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/ffa25286-de78-4241-b01b-9258e9c1e3bc.pdf
Managing Director,"Shishir Shrivastava 
Designation",,,FY2022,exited,https://www.bseindia.com/bseplus/AnnualReport/503100/74653503100.pdf
Managing Director,Shishir Srivastava,,,FY2022,exited,https://www.bseindia.com/bseplus/AnnualReport/503100/74653503100.pdf
CFO,Anuraag Srivastava,,,FY2022,exited,https://www.bseindia.com/bseplus/AnnualReport/503100/74653503100.pdf
