role,name,qualification,experience,years_present,status,first_seen_in_ar
Chairman,Bibhu Prasad Kanungo,,,FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/f7c8567f-8a20-407f-afeb-ed5811269304.pdf
Chairman,Bijou Kurien,,,FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/f7c8567f-8a20-407f-afeb-ed5811269304.pdf
Chairman,Nihar Niranjan Jambusaria,"t of 102 Schools in Rajasthan at the 16th CSR Summit & Awards Mrs. Madhu Jain, Founder-Director, IIFL Foundation received",,FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/f7c8567f-8a20-407f-afeb-ed5811269304.pdf
Chairman,Nirma Bhandari,,,FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/f7c8567f-8a20-407f-afeb-ed5811269304.pdf
Managing Director,Nirmal Jain,pur Skill Development Program’ at the 16th CSR Summit & Awards IIFL Foundation received the ‘Best CSR Project of the Year’,,FY2025–FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/f3d9810e-8da2-4fa0-a8f3-410af89c049d.pdf
CEO,Gopalakrishnan Soundarajan,,,FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/f7c8567f-8a20-407f-afeb-ed5811269304.pdf
Chairman,"Nilesh 
Vikamsey",,,FY2021,exited,https://www.bseindia.com/bseplus/AnnualReport/532636/68545532636.pdf
Chairman,Nirmal Jain,,,FY2021,exited,https://www.bseindia.com/bseplus/AnnualReport/532636/68545532636.pdf
Managing Director,Nagarajan Srinivasan,,,FY2021,exited,https://www.bseindia.com/bseplus/AnnualReport/532636/68545532636.pdf
CFO,Rajesh Rajak,,,FY2022,exited,https://www.bseindia.com/bseplus/AnnualReport/532636/73224532636.pdf
