role,name,qualification,experience,years_present,status,first_seen_in_ar
Chairman,Arvind Kapur,,,FY2024–FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/c5b39d32-9b26-4998-af9f-2f1643dbab55.pdf
Chairman,Ashok Lavasa,,,FY2024–FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/c5b39d32-9b26-4998-af9f-2f1643dbab55.pdf
Chairman,Shradha Suri,,,FY2021–FY2025,current,https://www.bseindia.com/bseplus/AnnualReport/517168/69592517168.pdf
Chairman,Vanaja Narayanan Sarna,,,FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/5569ecf9-0df5-489a-8e94-bc3e15f20dd4.pdf
Chairman,Meena Sethi,,,FY2021–FY2024,exited,https://www.bseindia.com/bseplus/AnnualReport/517168/69592517168.pdf
Chairman,Ramesh Suri,,,FY2021–FY2022,exited,https://www.bseindia.com/bseplus/AnnualReport/517168/69592517168.pdf
Chairman,Shradha SuriDesignation,,,FY2022,exited,https://www.bseindia.com/bseplus/AnnualReport/517168/73718517168.pdf
Managing Director,Parmod Kumar Duggal,,,FY2022–FY2024,exited,https://www.bseindia.com/bseplus/AnnualReport/517168/73718517168.pdf
Managing Director,Shradha Suri,,,FY2021–FY2023,exited,https://www.bseindia.com/bseplus/AnnualReport/517168/69592517168.pdf
CEO,Parmod Kumar DuggalDesignation,,,FY2022,exited,https://www.bseindia.com/bseplus/AnnualReport/517168/73718517168.pdf
