role,name,qualification,experience,years_present,status,first_seen_in_ar
Chairman,Amit Soni,"ch 24, 2022. The Chairman of the Committee, Mr. Amit Soni is a non-executive director. The composition of the Stakeholde",,FY2022–FY2025,current,https://www.bseindia.com/bseplus/AnnualReport/539787/76772539787.pdf
Chairman,Geeta Mathur,,,FY2022–FY2025,current,https://www.bseindia.com/bseplus/AnnualReport/539787/76772539787.pdf
Managing Director,Anjali Ajaikumar Rossi,"tel Member Ms. Anjali Ajaikumar RossiMember Mr. Amit Soni Member Note: (i) Ms. Anjali Ajaikumar Rossi, Whole-time Directo",,FY2023–FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/43cb1973-d10a-4b63-9950-8bfcf7c09e39.pdf
CEO,Meghraj Arvindrao Gore,,,FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/52337fa7-5286-4eeb-9dec-f7a2008c9f27.pdf
CFO,Ruby Ritolia,"Raghavan, Chief Financial Officer, has ceased to be Chief Financial Officer and KMP of the Company with effect from Augu",,FY2024–FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/ab592819-a130-44f5-9161-0d2db63de4e1.pdf
Chairman,Rajagopalan Raghavan,,,FY2023,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/43cb1973-d10a-4b63-9950-8bfcf7c09e39.pdf
Chairman,Sudhakar Rao,,,FY2022,exited,https://www.bseindia.com/bseplus/AnnualReport/539787/76772539787.pdf
Managing Director,Meghraj Arvindrao Gore,"his ability to do justice to what is required to be an effective Board member of HCG, and that there are no other materi",,FY2022–FY2024,exited,https://www.bseindia.com/bseplus/AnnualReport/539787/76772539787.pdf
Managing Director,Raj Gore,,,FY2022–FY2024,exited,https://www.bseindia.com/bseplus/AnnualReport/539787/76772539787.pdf
CFO,Srinivasa Raghavan,"Raghavan, Chief Financial Officer, has ceased to be Chief Financial Officer and KMP of the Company with effect from Augu",,FY2024,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/ab592819-a130-44f5-9161-0d2db63de4e1.pdf
