role,name,qualification,experience,years_present,status,first_seen_in_ar
Chairman,Anand Kripalu,,,FY2023,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/39c33f14-969d-4ce5-88c1-0bc64685f094.pdf
Chairman,Geetu Gidwani Verma,,,FY2023,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/39c33f14-969d-4ce5-88c1-0bc64685f094.pdf
Chairman,Kiran Mazumdar Shaw,,,FY2022–FY2023,current,https://www.bseindia.com/bseplus/AnnualReport/532478/73769532478.pdf
Chairman,Madhav Bhatkuly,,,FY2022–FY2023,current,https://www.bseindia.com/bseplus/AnnualReport/532478/73769532478.pdf
Chairman,Manu Anand,,,FY2023,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/39c33f14-969d-4ce5-88c1-0bc64685f094.pdf
Managing Director,Rishi Pardal,,,FY2022–FY2023,current,https://www.bseindia.com/bseplus/AnnualReport/532478/73769532478.pdf
Chairman,Stephan Gerlich,,,FY2022,exited,https://www.bseindia.com/bseplus/AnnualReport/532478/73769532478.pdf
Chairman,Subramaniam Somasundaram,,,FY2024,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/f915e35f-522a-4315-9aa4-78d8444c045a.pdf
Chairman,Sunil Alagh,,,FY2022,exited,https://www.bseindia.com/bseplus/AnnualReport/532478/73769532478.pdf
Managing Director,Vivek Gupta,,,FY2024,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/f915e35f-522a-4315-9aa4-78d8444c045a.pdf
