role,name,qualification,experience,years_present,status,first_seen_in_ar
Chairman,Harsh Pati Singhania,"ti Singhania, Chairman & Managing Director, is an MBA from University of Massachusetts and alumnus of Harvard Business Scho",,FY2024–FY2025,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/68d88172-95f9-4a73-9e83-58099d4713f0.pdf
Chairman,Bharat Hari Singhania,"Directors of the Company or a Committee thereof be and is hereby authorised to do all such acts, deeds and things as ma",,FY2021–FY2024,exited,https://www.bseindia.com/bseplus/AnnualReport/532162/69357532162.pdf
