role,name,qualification,experience,years_present,status,first_seen_in_ar
Chairman,Anita Belani,,,FY2026,current,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=69a36e2b-0310-4efe-b608-e5b8a56e07a3.pdf
Chairman,Sudip Nandy,,,FY2024–FY2026,current,https://www.bseindia.com/xml-data/corpfiling/AttachHis/2937051f-7c56-4a37-8d0d-d19a7960ef4a.pdf
CEO,Rajat Vohra,,,FY2026,current,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=69a36e2b-0310-4efe-b608-e5b8a56e07a3.pdf
CEO,Ramesh Natarajan,,,FY2022–FY2026,current,https://www.bseindia.com/bseplus/AnnualReport/532805/73475532805.pdf
Chairman,Keith WF Brad-ley,,,FY2023,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/a02f5df4-5a85-49d0-bd50-c0d544679658.pdf
Chairman,Keith WF Bradley,"n Independent Director and consequently ceased to be a member of the RMC on March 31, 2024. He was the Chairman of the Co",,FY2024,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/2937051f-7c56-4a37-8d0d-d19a7960ef4a.pdf
Chairman,Tu Shu- Chyuan,,,FY2024–FY2025,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/2937051f-7c56-4a37-8d0d-d19a7960ef4a.pdf
Managing Director,Rajiv Srivastava,,,FY2022–FY2024,exited,https://www.bseindia.com/bseplus/AnnualReport/532805/73475532805.pdf
Managing Director,Rajiv Srivastava-,,,FY2022–FY2023,exited,https://www.bseindia.com/bseplus/AnnualReport/532805/73475532805.pdf
Managing Director,Rajiv Srivastva,,,FY2023,exited,https://www.bseindia.com/xml-data/corpfiling/AttachHis/a02f5df4-5a85-49d0-bd50-c0d544679658.pdf
